onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	83	S3026_2	FALSE	.	7	.	.	.	.
19512	206	S3026_2	FALSE	.	0	t.04.01	4903	24415	19512
19737	312	S3026_2	FALSE	1	225	t.04.01	4903	24415	19512
20070	238	S3026_2	FALSE	2	558	t.04.01	4903	24415	19512
20333	285	S3026_2	FALSE	3	821	t.04.01	4903	24415	19512
20638	257	S3026_2	FALSE	.	1126	t.04.01	4903	24415	19512
20917	216	S3026_2	FALSE	2	1405	t.04.01	4903	24415	19512
21152	167	S3026_2	FALSE	2	1640	t.04.01	4903	24415	19512
21336	175	S3026_2	FALSE	2	1824	t.04.01	4903	24415	19512
21537	145	S3026_2	FALSE	3	2025	t.04.01	4903	24415	19512
21710	218	S3026_2	FALSE	6	2198	t.04.01	4903	24415	19512
21948	174	S3026_2	FALSE	7	2436	t.04.01	4903	24415	19512
22148	172	S3026_2	FALSE	8	2636	t.04.01	4903	24415	19512
22344	309	S3026_2	FALSE	10	2832	t.04.01	4903	24415	19512
22674	347	S3026_2	FALSE	11	3162	t.04.01	4903	24415	19512
23043	159	S3026_2	FALSE	9	3531	t.04.01	4903	24415	19512
23226	158	S3026_2	FALSE	11	3714	t.04.01	4903	24415	19512
23611	152	S3026_2	FALSE	9	4099	t.04.01	4903	24415	19512
23786	313	S3026_2	FALSE	11	4274	t.04.01	4903	24415	19512
24122	176	S3026_2	FALSE	9	4610	t.04.01	4903	24415	19512
24323	215	S3026_2	FALSE	11	4811	t.04.01	4903	24415	19512
#VALUE!	83	S3026_2	FALSE	.	7	.	.	.	.
25862	51	S3026_2	FALSE	.	0	t.04.02	3914	29776	25862
25919	142	S3026_2	FALSE	1	57	t.04.02	3914	29776	25862
26078	195	S3026_2	FALSE	2	216	t.04.02	3914	29776	25862
26295	182	S3026_2	FALSE	4	433	t.04.02	3914	29776	25862
