onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	85	S3101_3	FALSE	.	7	.	.	.	.
19527	147	S3101_3	FALSE	2	0	t.01.01	2623	22150	19527
19706	42	S3101_3	FALSE	6	179	t.01.01	2623	22150	19527
19780	45	S3101_3	FALSE	.	253	t.01.01	2623	22150	19527
19854	162	S3101_3	FALSE	1	327	t.01.01	2623	22150	19527
20034	282	S3101_3	FALSE	2	507	t.01.01	2623	22150	19527
20334	124	S3101_3	FALSE	3	807	t.01.01	2623	22150	19527
20720	327	S3101_3	FALSE	4	1193	t.01.01	2623	22150	19527
21060	36	S3101_3	FALSE	5	1533	t.01.01	2623	22150	19527
21115	220	S3101_3	FALSE	5	1588	t.01.01	2623	22150	19527
21349	125	S3101_3	FALSE	6	1822	t.01.01	2623	22150	19527
21730	185	S3101_3	FALSE	5	2203	t.01.01	2623	22150	19527
21928	94	S3101_3	FALSE	5	2401	t.01.01	2623	22150	19527
22056	225	S3101_3	FALSE	5	2529	t.01.01	2623	22150	19527
#VALUE!	79	S3101_3	FALSE	.	7	.	.	.	.
24110	341	S3101_3	FALSE	1	0	t.01.02	2060	26170	24110
24468	78	S3101_3	FALSE	1	358	t.01.02	2060	26170	24110
25406	56	S3101_3	FALSE	5	1296	t.01.02	2060	26170	24110
25481	126	S3101_3	FALSE	6	1371	t.01.02	2060	26170	24110
25627	163	S3101_3	FALSE	7	1517	t.01.02	2060	26170	24110
25807	162	S3101_3	FALSE	8	1697	t.01.02	2060	26170	24110
25989	181	S3101_3	FALSE	10	1879	t.01.02	2060	26170	24110
#VALUE!	81	S3101_3	FALSE	.	7	.	.	.	.
27644	259	S3101_3	FALSE	1	0	t.01.03	1691	29335	27644
27925	159	S3101_3	FALSE	2	281	t.01.03	1691	29335	27644
28103	183	S3101_3	FALSE	3	459	t.01.03	1691	29335	27644
28304	230	S3101_3	FALSE	4	660	t.01.03	1691	29335	27644
28556	210	S3101_3	FALSE	5	912	t.01.03	1691	29335	27644
28783	153	S3101_3	FALSE	7	1139	t.01.03	1691	29335	27644
28954	191	S3101_3	FALSE	8	1310	t.01.03	1691	29335	27644
29164	276	S3101_3	FALSE	10	1520	t.01.03	1691	29335	27644
#VALUE!	84	S3101_3	FALSE	.	7	.	.	.	.
31294	37	S3101_3	FALSE	3	0	t.01.04	4433	35728	31294
31339	151	S3101_3	FALSE	2	45	t.01.04	4433	35728	31294
31508	246	S3101_3	FALSE	1	214	t.01.04	4433	35728	31294
31772	170	S3101_3	FALSE	3	478	t.01.04	4433	35728	31294
31964	184	S3101_3	FALSE	4	670	t.01.04	4433	35728	31294
32168	138	S3101_3	FALSE	5	874	t.01.04	4433	35728	31294
32318	154	S3101_3	FALSE	5	1024	t.01.04	4433	35728	31294
32495	209	S3101_3	FALSE	7	1201	t.01.04	4433	35728	31294
32723	284	S3101_3	FALSE	9	1429	t.01.04	4433	35728	31294
33019	190	S3101_3	FALSE	10	1725	t.01.04	4433	35728	31294
33228	113	S3101_3	FALSE	10	1934	t.01.04	4433	35728	31294
33666	54	S3101_3	FALSE	6	2372	t.01.04	4433	35728	31294
33736	356	S3101_3	FALSE	5	2442	t.01.04	4433	35728	31294
34115	352	S3101_3	FALSE	7	2821	t.01.04	4433	35728	31294
34484	129	S3101_3	FALSE	9	3190	t.01.04	4433	35728	31294
34917	356	S3101_3	FALSE	5	3623	t.01.04	4433	35728	31294
35296	217	S3101_3	FALSE	7	4002	t.01.04	4433	35728	31294
35536	169	S3101_3	FALSE	9	4242	t.01.04	4433	35728	31294
35724	93	S3101_3	FALSE	10	4430	t.01.04	4433	35728	31294
#VALUE!	84	S3101_3	FALSE	.	7	.	.	.	.
37710	307	S3101_3	FALSE	1	0	t.01.05	2370	40080	37710
38040	179	S3101_3	FALSE	3	330	t.01.05	2370	40080	37710
38233	208	S3101_3	FALSE	4	523	t.01.05	2370	40080	37710
38460	225	S3101_3	FALSE	5	750	t.01.05	2370	40080	37710
38707	367	S3101_3	FALSE	7	997	t.01.05	2370	40080	37710
39097	151	S3101_3	FALSE	9	1387	t.01.05	2370	40080	37710
39267	188	S3101_3	FALSE	10	1557	t.01.05	2370	40080	37710
39479	222	S3101_3	FALSE	11	1769	t.01.05	2370	40080	37710
39718	198	S3101_3	FALSE	12	2008	t.01.05	2370	40080	37710
#VALUE!	79	S3101_3	FALSE	.	8	.	.	.	.
42077	191	S3101_3	FALSE	2	0	t.01.06	3111	45188	42077
42329	177	S3101_3	FALSE	1	252	t.01.06	3111	45188	42077
42523	180	S3101_3	FALSE	3	446	t.01.06	3111	45188	42077
42722	174	S3101_3	FALSE	4	645	t.01.06	3111	45188	42077
42911	649	S3101_3	FALSE	5	834	t.01.06	3111	45188	42077
43579	474	S3101_3	FALSE	6	1502	t.01.06	3111	45188	42077
44067	211	S3101_3	FALSE	7	1990	t.01.06	3111	45188	42077
44287	214	S3101_3	FALSE	7	2210	t.01.06	3111	45188	42077
44523	219	S3101_3	FALSE	9	2446	t.01.06	3111	45188	42077
44762	274	S3101_3	FALSE	10	2685	t.01.06	3111	45188	42077
45051	149	S3101_3	FALSE	11	2974	t.01.06	3111	45188	42077
45215	70	S3101_3	FALSE	10	3138	t.01.06	3111	45188	42077
#VALUE!	83	S3101_3	FALSE	.	7	.	.	.	.
47143	409	S3101_3	FALSE	2	0	t.01.07	4059	51202	47143
47572	154	S3101_3	FALSE	3	429	t.01.07	4059	51202	47143
47748	321	S3101_3	FALSE	4	605	t.01.07	4059	51202	47143
48090	190	S3101_3	FALSE	6	947	t.01.07	4059	51202	47143
48299	203	S3101_3	FALSE	6	1156	t.01.07	4059	51202	47143
48517	178	S3101_3	FALSE	7	1374	t.01.07	4059	51202	47143
48703	292	S3101_3	FALSE	7	1560	t.01.07	4059	51202	47143
49018	209	S3101_3	FALSE	6	1875	t.01.07	4059	51202	47143
49258	222	S3101_3	FALSE	8	2115	t.01.07	4059	51202	47143
49500	192	S3101_3	FALSE	9	2357	t.01.07	4059	51202	47143
49702	106	S3101_3	FALSE	9	2559	t.01.07	4059	51202	47143
49832	318	S3101_3	FALSE	10	2689	t.01.07	4059	51202	47143
50174	187	S3101_3	FALSE	9	3031	t.01.07	4059	51202	47143
50415	241	S3101_3	FALSE	2	3272	t.01.07	4059	51202	47143
50721	285	S3101_3	FALSE	9	3578	t.01.07	4059	51202	47143
51023	220	S3101_3	FALSE	9	3880	t.01.07	4059	51202	47143
51254	43	S3101_3	FALSE	10	4111	t.01.07	4059	51202	47143
#VALUE!	48	S3101_3	FALSE	.	7	.	.	.	.
#VALUE!	22	S3101_3	FALSE	.	65	.	.	.	.
53176	348	S3101_3	TRUE	1	0	t.01.08	2400	55576	53176
53548	105	S3101_3	TRUE	3	372	t.01.08	2400	55576	53176
53885	76	S3101_3	TRUE	4	709	t.01.08	2400	55576	53176
53987	23	S3101_3	TRUE	4	811	t.01.08	2400	55576	53176
54048	226	S3101_3	TRUE	6	872	t.01.08	2400	55576	53176
54293	272	S3101_3	TRUE	7	1117	t.01.08	2400	55576	53176
54587	194	S3101_3	TRUE	8	1411	t.01.08	2400	55576	53176
54794	329	S3101_3	TRUE	9	1618	t.01.08	2400	55576	53176
55143	327	S3101_3	TRUE	10	1967	t.01.08	2400	55576	53176
55506	166	S3101_3	TRUE	7	2330	t.01.08	2400	55576	53176
57223	38	S3101_3	FALSE	.	163	t.01.09	2643	59703	57060
57311	267	S3101_3	FALSE	.	251	t.01.09	2643	59703	57060
