onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	84	S3015_1	FALSE	.	7	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull
19554	88	S3015_1	FALSE	5	0	t.04.01	7536	27090	19554
19657	164	S3015_1	FALSE	6	103	t.04.01	7536	27090	19554
19845	90	S3015_1	FALSE	4	291	t.04.01	7536	27090	19554
19977	219	S3015_1	FALSE	1	423	t.04.01	7536	27090	19554
20218	314	S3015_1	FALSE	1	664	t.04.01	7536	27090	19554
20554	218	S3015_1	FALSE	2	1000	t.04.01	7536	27090	19554
20791	366	S3015_1	FALSE	2	1237	t.04.01	7536	27090	19554
21171	421	S3015_1	FALSE	2	1617	t.04.01	7536	27090	19554
21603	280	S3015_1	FALSE	2	2049	t.04.01	7536	27090	19554
21896	289	S3015_1	FALSE	2	2342	t.04.01	7536	27090	19554
22202	183	S3015_1	FALSE	2	2648	t.04.01	7536	27090	19554
22405	231	S3015_1	FALSE	3	2851	t.04.01	7536	27090	19554
22656	363	S3015_1	FALSE	4	3102	t.04.01	7536	27090	19554
23034	175	S3015_1	FALSE	4	3480	t.04.01	7536	27090	19554
23217	160	S3015_1	FALSE	4	3663	t.04.01	7536	27090	19554
23399	194	S3015_1	FALSE	6	3845	t.04.01	7536	27090	19554
23610	430	S3015_1	FALSE	7	4056	t.04.01	7536	27090	19554
24060	280	S3015_1	FALSE	8	4506	t.04.01	7536	27090	19554
24358	298	S3015_1	FALSE	9	4804	t.04.01	7536	27090	19554
24676	321	S3015_1	FALSE	10	5122	t.04.01	7536	27090	19554
25012	727	S3015_1	FALSE	11	5458	t.04.01	7536	27090	19554
25748	489	S3015_1	FALSE	11	6194	t.04.01	7536	27090	19554
26254	390	S3015_1	FALSE	10	6700	t.04.01	7536	27090	19554
26682	286	S3015_1	FALSE	8	7128	t.04.01	7536	27090	19554
26998	204	S3015_1	FALSE	6	7444	t.04.01	7536	27090	19554
#VALUE!	84	S3015_1	FALSE	.	7	.	.	.	.
28587	27	S3015_1	FALSE	2	0	t.04.02	5332	33919	28587
28652	158	S3015_1	FALSE	6	65	t.04.02	5332	33919	28587
28832	158	S3015_1	FALSE	4	245	t.04.02	5332	33919	28587
29012	222	S3015_1	FALSE	2	425	t.04.02	5332	33919	28587
29248	297	S3015_1	FALSE	1	661	t.04.02	5332	33919	28587
29589	167	S3015_1	FALSE	4	1002	t.04.02	5332	33919	28587
29774	128	S3015_1	FALSE	2	1187	t.04.02	5332	33919	28587
29922	312	S3015_1	FALSE	1	1335	t.04.02	5332	33919	28587
30257	246	S3015_1	FALSE	4	1670	t.04.02	5332	33919	28587
30525	230	S3015_1	FALSE	4	1938	t.04.02	5332	33919	28587
30777	275	S3015_1	FALSE	6	2190	t.04.02	5332	33919	28587
31070	286	S3015_1	FALSE	8	2483	t.04.02	5332	33919	28587
31376	234	S3015_1	FALSE	8	2789	t.04.02	5332	33919	28587
31630	828	S3015_1	FALSE	9	3043	t.04.02	5332	33919	28587
32485	190	S3015_1	FALSE	9	3898	t.04.02	5332	33919	28587
32693	189	S3015_1	FALSE	10	4106	t.04.02	5332	33919	28587
32900	154	S3015_1	FALSE	11	4313	t.04.02	5332	33919	28587
33097	441	S3015_1	FALSE	8	4510	t.04.02	5332	33919	28587
33562	268	S3015_1	FALSE	5	4975	t.04.02	5332	33919	28587
33847	172	S3015_1	FALSE	4	5260	t.04.02	5332	33919	28587
#VALUE!	62	S3015_1	FALSE	.	7	.	.	.	.
35459	176	S3015_1	FALSE	3	23	t.04.03	3904	39340	35436
