onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset	CURRENT_FIX_ADJUSTED
#VALUE!	55	S3017_1	.	33	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	FALSE
19493	448	S3017_1	3	0	t.01.01	2203	21697	19493	TRUE
19953	176	S3017_1	2	460	t.01.01	2203	21697	19493	TRUE
20153	284	S3017_1	3	660	t.01.01	2203	21697	19493	TRUE
20453	100	S3017_1	2	960	t.01.01	2203	21697	19493	TRUE
20579	197	S3017_1	5	1086	t.01.01	2203	21697	19493	TRUE
20796	387	S3017_1	6	1303	t.01.01	2203	21697	19493	TRUE
21198	560	S3017_1	7	1705	t.01.01	2203	21697	19493	TRUE
21773	32	S3017_1	.	2280	t.01.01	2203	21697	19493	TRUE
#VALUE!	84	S3017_1	.	7	.	.	.	.	FALSE
23159	235	S3017_1	1	0	t.01.02	2908	26067	23159	TRUE
23418	139	S3017_1	3	259	t.01.02	2908	26067	23159	TRUE
23578	185	S3017_1	2	419	t.01.02	2908	26067	23159	TRUE
23785	227	S3017_1	3	626	t.01.02	2908	26067	23159	TRUE
24033	273	S3017_1	4	874	t.01.02	2908	26067	23159	TRUE
24327	227	S3017_1	5	1168	t.01.02	2908	26067	23159	TRUE
24577	292	S3017_1	6	1418	t.01.02	2908	26067	23159	TRUE
24891	210	S3017_1	8	1732	t.01.02	2908	26067	23159	TRUE
25120	296	S3017_1	.	1961	t.01.02	2908	26067	23159	TRUE
25435	556	S3017_1	10	2276	t.01.02	2908	26067	23159	TRUE
26006	167	S3017_1	10	2847	t.01.02	2908	26067	23159	TRUE
#VALUE!	36	S3017_1	.	55	.	.	.	.	FALSE
27609	252	S3017_1	3	0	t.01.03	0	35609	27609	TRUE
27882	288	S3017_1	2	273	t.01.03	0	35609	27609	TRUE
28189	201	S3017_1	3	580	t.01.03	0	35609	27609	TRUE
28409	223	S3017_1	3	800	t.01.03	0	35609	27609	TRUE
28644	278	S3017_1	3	1035	t.01.03	0	35609	27609	TRUE
28935	197	S3017_1	3	1326	t.01.03	0	35609	27609	TRUE
29148	105	S3017_1	2	1539	t.01.03	0	35609	27609	TRUE
29282	263	S3017_1	4	1673	t.01.03	0	35609	27609	TRUE
29557	101	S3017_1	5	1948	t.01.03	0	35609	27609	TRUE
29678	333	S3017_1	.	2069	t.01.03	0	35609	27609	TRUE
30029	369	S3017_1	4	2420	t.01.03	0	35609	27609	TRUE
30415	346	S3017_1	5	2806	t.01.03	0	35609	27609	TRUE
30780	383	S3017_1	6	3171	t.01.03	0	35609	27609	TRUE
31181	265	S3017_1	7	3572	t.01.03	0	35609	27609	TRUE
31469	364	S3017_1	9	3860	t.01.03	0	35609	27609	TRUE
31854	304	S3017_1	10	4245	t.01.03	0	35609	27609	TRUE
32179	443	S3017_1	11	4570	t.01.03	0	35609	27609	TRUE
32642	339	S3017_1	10	5033	t.01.03	0	35609	27609	TRUE
33004	378	S3017_1	8	5395	t.01.03	0	35609	27609	TRUE
33405	253	S3017_1	10	5796	t.01.03	0	35609	27609	TRUE
33679	210	S3017_1	11	6070	t.01.03	0	35609	27609	TRUE
33897	193	S3017_1	11	6288	t.01.03	0	35609	27609	TRUE
34302	364	S3017_1	11	6693	t.01.03	0	35609	27609	TRUE
34678	231	S3017_1	10	7069	t.01.03	0	35609	27609	TRUE
34936	254	S3017_1	7	7327	t.01.03	0	35609	27609	TRUE
35212	149	S3017_1	5	7603	t.01.03	0	35609	27609	TRUE
35392	314	S3017_1	3	7783	t.01.03	0	35609	27609	TRUE
#VALUE!	85	S3017_1	.	7	.	.	.	.	FALSE
37625	565	S3017_1	2	0	t.01.04	5638	43263	37625	TRUE
38208	246	S3017_1	3	583	t.01.04	5638	43263	37625	TRUE
38473	440	S3017_1	4	848	t.01.04	5638	43263	37625	TRUE
38928	448	S3017_1	5	1303	t.01.04	5638	43263	37625	TRUE
39395	303	S3017_1	6	1770	t.01.04	5638	43263	37625	TRUE
39719	430	S3017_1	7	2094	t.01.04	5638	43263	37625	TRUE
40169	679	S3017_1	9	2544	t.01.04	5638	43263	37625	TRUE
40867	292	S3017_1	10	3242	t.01.04	5638	43263	37625	TRUE
41177	291	S3017_1	11	3552	t.01.04	5638	43263	37625	TRUE
41483	244	S3017_1	11	3858	t.01.04	5638	43263	37625	TRUE
41980	188	S3017_1	6	4355	t.01.04	5638	43263	37625	TRUE
42209	319	S3017_1	2	4584	t.01.04	5638	43263	37625	TRUE
42536	380	S3017_1	2	4911	t.01.04	5638	43263	37625	TRUE
42938	415	S3017_1	3	5313	t.01.04	5638	43263	37625	TRUE
#VALUE!	80	S3017_1	.	7	.	.	.	.	FALSE
