onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset	CURRENT_FIX_ADJUSTED
#VALUE!	81	S3017_5	.	7	.	.	.	.	FALSE
19564	8	S3017_5	1	0	t.05.01	0	27564	19564	TRUE
19820	164	S3017_5	1	256	t.05.01	0	27564	19564	TRUE
20073	26	S3017_5	1	509	t.05.01	0	27564	19564	TRUE
20501	41	S3017_5	1	937	t.05.01	0	27564	19564	TRUE
20670	343	S3017_5	2	1106	t.05.01	0	27564	19564	TRUE
21036	415	S3017_5	3	1472	t.05.01	0	27564	19564	TRUE
21479	642	S3017_5	4	1915	t.05.01	0	27564	19564	TRUE
22139	314	S3017_5	5	2575	t.05.01	0	27564	19564	TRUE
22490	477	S3017_5	3	2926	t.05.01	0	27564	19564	TRUE
22987	532	S3017_5	3	3423	t.05.01	0	27564	19564	TRUE
23539	92	S3017_5	3	3975	t.05.01	0	27564	19564	TRUE
24188	227	S3017_5	4	4624	t.05.01	0	27564	19564	TRUE
24455	28	S3017_5	6	4891	t.05.01	0	27564	19564	TRUE
24531	259	S3017_5	6	4967	t.05.01	0	27564	19564	TRUE
24810	323	S3017_5	7	5246	t.05.01	0	27564	19564	TRUE
25154	61	S3017_5	8	5590	t.05.01	0	27564	19564	TRUE
25325	70	S3017_5	8	5761	t.05.01	0	27564	19564	TRUE
25514	33	S3017_5	9	5950	t.05.01	0	27564	19564	TRUE
26078	142	S3017_5	9	6514	t.05.01	0	27564	19564	TRUE
26245	94	S3017_5	9	6681	t.05.01	0	27564	19564	TRUE
26748	155	S3017_5	7	7184	t.05.01	0	27564	19564	TRUE
27101	83	S3017_5	3	7537	t.05.01	0	27564	19564	TRUE
27208	404	S3017_5	4	7644	t.05.01	0	27564	19564	TRUE
27632	48	S3017_5	.	8068	t.05.01	0	27564	19564	TRUE
#VALUE!	51	S3017_5	.	13	.	.	.	.	FALSE
29142	160	S3017_5	6	61	t.05.02	0	37081	29081	TRUE
29355	31	S3017_5	1	274	t.05.02	0	37081	29081	TRUE
29419	42	S3017_5	2	338	t.05.02	0	37081	29081	TRUE
29485	108	S3017_5	1	404	t.05.02	0	37081	29081	TRUE
29609	310	S3017_5	1	528	t.05.02	0	37081	29081	TRUE
29939	328	S3017_5	2	858	t.05.02	0	37081	29081	TRUE
30287	375	S3017_5	2	1206	t.05.02	0	37081	29081	TRUE
30686	417	S3017_5	4	1605	t.05.02	0	37081	29081	TRUE
31113	254	S3017_5	4	2032	t.05.02	0	37081	29081	TRUE
31388	171	S3017_5	5	2307	t.05.02	0	37081	29081	TRUE
31579	180	S3017_5	6	2498	t.05.02	0	37081	29081	TRUE
31774	530	S3017_5	5	2693	t.05.02	0	37081	29081	TRUE
32328	434	S3017_5	4	3247	t.05.02	0	37081	29081	TRUE
32787	266	S3017_5	6	3706	t.05.02	0	37081	29081	TRUE
33073	377	S3017_5	7	3992	t.05.02	0	37081	29081	TRUE
33474	363	S3017_5	7	4393	t.05.02	0	37081	29081	TRUE
33863	356	S3017_5	9	4782	t.05.02	0	37081	29081	TRUE
34239	271	S3017_5	9	5158	t.05.02	0	37081	29081	TRUE
34524	229	S3017_5	.	5443	t.05.02	0	37081	29081	TRUE
35008	62	S3017_5	.	5927	t.05.02	0	37081	29081	TRUE
