onset	duration	RECORDING_SESSION_LABEL	CURRENT_SAC_ADJUSTED	CURRENT_SAC_AMPLITUDE	CURRENT_SAC_AVG_VELOCITY	CURRENT_SAC_DIRECTION	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_TIME	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	48	S3013_5	FALSE	.	.	DOWN	.	.	1	.	.	.	.
19783	47	S3013_5	TRUE	4.2	89.34	LEFT	1	3	296	t.05.01	3624	23111	19487
19970	5	S3013_5	TRUE	0.38	76.26	.	1	1	483	t.05.01	3624	23111	19487
20115	15	S3013_5	TRUE	0.77	51.05	UP	1	1	628	t.05.01	3624	23111	19487
20238	26	S3013_5	TRUE	2.43	93.63	RIGHT	3	1	751	t.05.01	3624	23111	19487
20582	27	S3013_5	TRUE	2.35	87.16	RIGHT	3	2	1095	t.05.01	3624	23111	19487
20901	22	S3013_5	TRUE	2.55	115.78	LEFT	2	3	1414	t.05.01	3624	23111	19487
21179	47	S3013_5	TRUE	3.54	75.34	RIGHT	4	2	1692	t.05.01	3624	23111	19487
21488	22	S3013_5	TRUE	1.57	71.18	RIGHT	4	4	2001	t.05.01	3624	23111	19487
21829	27	S3013_5	TRUE	2.71	100.35	RIGHT	6	4	2342	t.05.01	3624	23111	19487
22115	25	S3013_5	TRUE	2.18	87.09	RIGHT	7	6	2628	t.05.01	3624	23111	19487
22423	22	S3013_5	TRUE	1.86	84.63	RIGHT	9	7	2936	t.05.01	3624	23111	19487
22538	38	S3013_5	TRUE	0.94	24.61	RIGHT	9	9	3051	t.05.01	3624	23111	19487
22815	21	S3013_5	TRUE	1.69	80.53	LEFT	9	9	3328	t.05.01	3624	23111	19487
23039	23	S3013_5	TRUE	1.97	85.67	RIGHT	9	9	3552	t.05.01	3624	23111	19487
24651	14	S3013_5	FALSE	0.25	17.8	.	1	1	98	t.05.02	3663	28216	24553
24781	20	S3013_5	FALSE	1.09	54.68	LEFT	1	2	228	t.05.02	3663	28216	24553
24824	20	S3013_5	FALSE	0.13	6.41	.	1	1	271	t.05.02	3663	28216	24553
24990	24	S3013_5	FALSE	2.44	101.47	RIGHT	2	1	437	t.05.02	3663	28216	24553
25330	28	S3013_5	FALSE	3.08	110.16	RIGHT	4	2	777	t.05.02	3663	28216	24553
25661	24	S3013_5	FALSE	2.19	91.25	RIGHT	6	4	1108	t.05.02	3663	28216	24553
26174	24	S3013_5	FALSE	2.15	89.7	RIGHT	7	5	1621	t.05.02	3663	28216	24553
26413	21	S3013_5	FALSE	1.55	73.89	RIGHT	7	7	1860	t.05.02	3663	28216	24553
26752	23	S3013_5	FALSE	2	87	LEFT	7	7	2199	t.05.02	3663	28216	24553
27048	27	S3013_5	FALSE	2.62	97.06	RIGHT	7	7	2495	t.05.02	3663	28216	24553
27400	153	S3013_5	FALSE	2.3	15.01	RIGHT	9	7	2847	t.05.02	3663	28216	24553
27707	29	S3013_5	FALSE	1.94	67.03	RIGHT	9	8	3154	t.05.02	3663	28216	24553
29906	26	S3013_5	FALSE	1.27	49.01	RIGHT	3	2	270	t.05.03	3132	32768	29636
30104	27	S3013_5	FALSE	2.24	82.89	RIGHT	5	3	468	t.05.03	3132	32768	29636
30341	34	S3013_5	FALSE	1.65	48.66	RIGHT	6	5	705	t.05.03	3132	32768	29636
30889	25	S3013_5	FALSE	2.03	81.05	RIGHT	7	6	1253	t.05.03	3132	32768	29636
31485	20	S3013_5	FALSE	1.36	67.78	RIGHT	8	7	1849	t.05.03	3132	32768	29636
31717	25	S3013_5	FALSE	2.1	84.06	RIGHT	9	8	2081	t.05.03	3132	32768	29636
32062	29	S3013_5	FALSE	2.32	80.01	RIGHT	11	9	2426	t.05.03	3132	32768	29636
32338	26	S3013_5	FALSE	2.02	77.69	RIGHT	12	10	2702	t.05.03	3132	32768	29636
32528	19	S3013_5	FALSE	1.24	65.03	RIGHT	.	12	2892	t.05.03	3132	32768	29636
32717	42	S3013_5	FALSE	5.39	128.27	LEFT	9	.	3081	t.05.03	3132	32768	29636
34215	20	S3013_5	FALSE	0.07	3.69	.	3	3	12	t.05.04	4235	38438	34203
34411	26	S3013_5	FALSE	1.59	61.14	LEFT	1	3	208	t.05.04	4235	38438	34203
34730	25	S3013_5	FALSE	2.74	109.44	RIGHT	4	1	527	t.05.04	4235	38438	34203
35059	14	S3013_5	FALSE	0.93	66.22	LEFT	3	3	856	t.05.04	4235	38438	34203
35523	22	S3013_5	FALSE	1.33	60.61	RIGHT	4	3	1320	t.05.04	4235	38438	34203
35706	23	S3013_5	FALSE	2.25	97.87	RIGHT	5	4	1503	t.05.04	4235	38438	34203
