onset	duration	RECORDING_SESSION_LABEL	CURRENT_SAC_ADJUSTED	CURRENT_SAC_AMPLITUDE	CURRENT_SAC_AVG_VELOCITY	CURRENT_SAC_DIRECTION	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_TIME	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	440	S3013_2	FALSE	.	.	DOWN	.	.	1	.	.	.	.
19390	440	S3013_2	FALSE	.	.	DOWN	.	.	-90	t.03.01	5563	25043	19480
19919	53	S3013_2	FALSE	6.83	128.83	LEFT	.	.	439	t.03.01	5563	25043	19480
20062	47	S3013_2	FALSE	3.76	80.04	LEFT	2	4	582	t.03.01	5563	25043	19480
20157	6	S3013_2	FALSE	0.31	52.05	.	2	2	677	t.03.01	5563	25043	19480
20398	23	S3013_2	FALSE	2.43	105.53	RIGHT	3	2	918	t.03.01	5563	25043	19480
20656	9	S3013_2	FALSE	0.56	61.8	LEFT	3	3	1176	t.03.01	5563	25043	19480
20937	20	S3013_2	FALSE	1.7	85.14	LEFT	2	3	1457	t.03.01	5563	25043	19480
21110	24	S3013_2	FALSE	1.72	71.87	LEFT	1	2	1630	t.03.01	5563	25043	19480
21313	29	S3013_2	FALSE	4.19	144.55	RIGHT	4	2	1833	t.03.01	5563	25043	19480
21713	44	S3013_2	FALSE	3.2	72.62	RIGHT	6	4	2233	t.03.01	5563	25043	19480
22034	12	S3013_2	FALSE	0.67	55.74	LEFT	6	6	2554	t.03.01	5563	25043	19480
22225	23	S3013_2	FALSE	2.05	89.06	RIGHT	6	6	2745	t.03.01	5563	25043	19480
22513	33	S3013_2	FALSE	3.41	103.26	RIGHT	8	6	3033	t.03.01	5563	25043	19480
22843	19	S3013_2	FALSE	1.25	66.01	RIGHT	8	8	3363	t.03.01	5563	25043	19480
23230	14	S3013_2	FALSE	1.05	74.85	LEFT	8	8	3750	t.03.01	5563	25043	19480
23639	20	S3013_2	FALSE	1.34	67.2	LEFT	7	8	4159	t.03.01	5563	25043	19480
23940	26	S3013_2	FALSE	1.98	76.24	RIGHT	8	7	4460	t.03.01	5563	25043	19480
24064	27	S3013_2	FALSE	3.08	114.07	LEFT	6	8	4584	t.03.01	5563	25043	19480
24482	50	S3013_2	FALSE	4.29	85.78	RIGHT	8	6	5002	t.03.01	5563	25043	19480
24929	6	S3013_2	FALSE	0.25	41.59	.	8	8	5449	t.03.01	5563	25043	19480
25023	26	S3013_2	FALSE	1.75	67.24	RIGHT	8	8	5543	t.03.01	5563	25043	19480
26425	151	S3013_2	FALSE	2.73	18.06	RIGHT	3	1	-39	t.03.02	3576	30040	26464
26724	24	S3013_2	FALSE	2.02	84.15	LEFT	1	3	260	t.03.02	3576	30040	26464
26883	136	S3013_2	FALSE	1.45	10.69	RIGHT	3	2	419	t.03.02	3576	30040	26464
27228	20	S3013_2	FALSE	1.49	74.74	RIGHT	3	3	764	t.03.02	3576	30040	26464
27585	34	S3013_2	FALSE	3.53	103.87	RIGHT	5	3	1121	t.03.02	3576	30040	26464
28039	29	S3013_2	FALSE	3.02	104.27	RIGHT	7	5	1575	t.03.02	3576	30040	26464
28558	17	S3013_2	FALSE	1.15	67.74	RIGHT	8	7	2094	t.03.02	3576	30040	26464
28652	322	S3013_2	FALSE	7.1	22.06	LEFT	.	8	2188	t.03.02	3576	30040	26464
29020	33	S3013_2	FALSE	1.57	47.71	LEFT	3	.	2556	t.03.02	3576	30040	26464
29289	13	S3013_2	FALSE	0.84	64.39	LEFT	3	3	2825	t.03.02	3576	30040	26464
29695	13	S3013_2	FALSE	0.74	56.59	RIGHT	3	3	3231	t.03.02	3576	30040	26464
31744	11	S3013_2	FALSE	0.5	45.06	.	2	3	264	t.03.03	4421	35902	31480
32094	23	S3013_2	FALSE	2.06	89.41	RIGHT	4	2	614	t.03.03	4421	35902	31480
32333	21	S3013_2	FALSE	1.46	69.72	RIGHT	5	4	853	t.03.03	4421	35902	31480
32971	21	S3013_2	FALSE	1.88	89.65	RIGHT	6	5	1491	t.03.03	4421	35902	31480
33361	25	S3013_2	FALSE	2.74	109.74	LEFT	4	6	1881	t.03.03	4421	35902	31480
33609	32	S3013_2	FALSE	3.72	116.17	RIGHT	7	4	2129	t.03.03	4421	35902	31480
33911	26	S3013_2	FALSE	2.63	101.01	RIGHT	9	6	2431	t.03.03	4421	35902	31480
34220	21	S3013_2	FALSE	1.43	67.95	RIGHT	10	9	2740	t.03.03	4421	35902	31480
34472	25	S3013_2	FALSE	2.4	96.09	RIGHT	11	10	2992	t.03.03	4421	35902	31480
34789	21	S3013_2	FALSE	1.46	69.64	RIGHT	12	11	3309	t.03.03	4421	35902	31480
34974	19	S3013_2	FALSE	1.21	63.64	RIGHT	13	12	3494	t.03.03	4421	35902	31480
35259	57	S3013_2	FALSE	8.91	156.26	LEFT	6	13	3779	t.03.03	4421	35902	31480
35486	169	S3013_2	FALSE	0.06	0.35	.	6	6	4006	t.03.03	4421	35902	31480
35688	117	S3013_2	FALSE	0.06	0.5	.	6	6	4208	t.03.03	4421	35902	31480
37520	31	S3013_2	TRUE	3.62	116.69	LEFT	3	6	207	t.03.04	7159	44472	37313
37873	7	S3013_2	TRUE	0.27	38.49	.	.	3	560	t.03.04	7159	44472	37313
38096	21	S3013_2	TRUE	1.69	80.69	RIGHT	5	3	783	t.03.04	7159	44472	37313
38316	25	S3013_2	TRUE	2.26	90.57	RIGHT	7	5	1003	t.03.04	7159	44472	37313
38837	22	S3013_2	TRUE	2.02	91.73	RIGHT	8	6	1524	t.03.04	7159	44472	37313
39315	25	S3013_2	TRUE	1.79	71.46	LEFT	7	8	2002	t.03.04	7159	44472	37313
39618	26	S3013_2	TRUE	2.26	86.83	RIGHT	8	7	2305	t.03.04	7159	44472	37313
39997	21	S3013_2	TRUE	1.4	66.56	RIGHT	10	8	2684	t.03.04	7159	44472	37313
40127	263	S3013_2	TRUE	6.37	24.23	DOWN	.	10	2814	t.03.04	7159	44472	37313
40689	21	S3013_2	TRUE	1.5	71.53	RIGHT	12	11	3376	t.03.04	7159	44472	37313
41229	24	S3013_2	TRUE	1.71	71.22	RIGHT	13	12	3916	t.03.04	7159	44472	37313
41493	39	S3013_2	TRUE	4.57	117.11	LEFT	11	13	4180	t.03.04	7159	44472	37313
41852	17	S3013_2	TRUE	1.04	61.4	RIGHT	11	11	4539	t.03.04	7159	44472	37313
42160	17	S3013_2	TRUE	1.14	66.95	LEFT	11	11	4847	t.03.04	7159	44472	37313
42452	30	S3013_2	TRUE	3.02	100.69	RIGHT	12	11	5139	t.03.04	7159	44472	37313
42725	18	S3013_2	TRUE	1	55.41	RIGHT	13	12	5412	t.03.04	7159	44472	37313
42953	25	S3013_2	TRUE	2.11	84.31	RIGHT	13	12	5640	t.03.04	7159	44472	37313
43238	64	S3013_2	TRUE	10.64	166.29	LEFT	6	13	5925	t.03.04	7159	44472	37313
43601	30	S3013_2	TRUE	2.39	79.62	LEFT	3	6	6288	t.03.04	7159	44472	37313
43688	152	S3013_2	TRUE	2.39	15.71	LEFT	3	6	6375	t.03.04	7159	44472	37313
43913	41	S3013_2	TRUE	2.39	58.26	LEFT	3	6	6600	t.03.04	7159	44472	37313
43991	54	S3013_2	TRUE	5.81	107.57	RIGHT	8	3	6678	t.03.04	7159	44472	37313
44307	17	S3013_2	TRUE	1.08	63.4	LEFT	8	8	6994	t.03.04	7159	44472	37313
44412	37	S3013_2	TRUE	4.48	121.11	RIGHT	11	8	7099	t.03.04	7159	44472	37313
46124	20	S3013_2	FALSE	1.5	74.93	RIGHT	2	2	211	t.03.05	2706	48619	45913
46419	21	S3013_2	FALSE	1.54	73.18	RIGHT	3	2	506	t.03.05	2706	48619	45913
46614	29	S3013_2	FALSE	2.92	100.63	RIGHT	4	3	701	t.03.05	2706	48619	45913
46945	16	S3013_2	FALSE	1.05	65.65	LEFT	4	4	1032	t.03.05	2706	48619	45913
47116	30	S3013_2	FALSE	4.75	158.45	RIGHT	6	4	1203	t.03.05	2706	48619	45913
47473	29	S3013_2	FALSE	2.21	76.15	RIGHT	7	5	1560	t.03.05	2706	48619	45913
47672	23	S3013_2	FALSE	1.95	84.9	RIGHT	7	7	1759	t.03.05	2706	48619	45913
47939	22	S3013_2	FALSE	1.64	74.71	RIGHT	.	7	2026	t.03.05	2706	48619	45913
48425	61	S3013_2	FALSE	10.1	165.6	LEFT	3	9	2512	t.03.05	2706	48619	45913
50259	21	S3013_2	FALSE	1.6	76.33	LEFT	2	4	179	t.03.06	0	58080	50080
50429	16	S3013_2	FALSE	1	62.5	LEFT	2	2	349	t.03.06	0	58080	50080
50658	30	S3013_2	FALSE	4.16	138.53	RIGHT	5	2	578	t.03.06	0	58080	50080
51055	23	S3013_2	FALSE	1.61	70.03	RIGHT	6	5	975	t.03.06	0	58080	50080
51247	24	S3013_2	FALSE	1.85	77.25	LEFT	5	6	1167	t.03.06	0	58080	50080
51449	20	S3013_2	FALSE	1.3	65.07	RIGHT	6	5	1369	t.03.06	0	58080	50080
51656	23	S3013_2	FALSE	2.21	96.28	RIGHT	7	5	1576	t.03.06	0	58080	50080
52873	18	S3013_2	FALSE	1.19	66	RIGHT	8	7	2793	t.03.06	0	58080	50080
53182	19	S3013_2	FALSE	1.22	64.18	LEFT	7	8	3102	t.03.06	0	58080	50080
53613	17	S3013_2	FALSE	1.13	66.57	RIGHT	8	7	3533	t.03.06	0	58080	50080
54216	24	S3013_2	FALSE	1.58	66.03	RIGHT	9	8	4136	t.03.06	0	58080	50080
54549	15	S3013_2	FALSE	0.97	64.67	RIGHT	10	9	4469	t.03.06	0	58080	50080
55107	26	S3013_2	FALSE	1.74	66.77	RIGHT	11	9	5027	t.03.06	0	58080	50080
55308	27	S3013_2	FALSE	1.83	67.87	RIGHT	12	11	5228	t.03.06	0	58080	50080
55746	24	S3013_2	FALSE	1.95	81.07	RIGHT	14	12	5666	t.03.06	0	58080	50080
56209	13	S3013_2	FALSE	0.67	51.59	LEFT	13	14	6129	t.03.06	0	58080	50080
56566	20	S3013_2	FALSE	1.64	82.06	LEFT	12	13	6486	t.03.06	0	58080	50080
56765	40	S3013_2	FALSE	5.88	147.1	LEFT	6	12	6685	t.03.06	0	58080	50080
57002	32	S3013_2	FALSE	3.41	106.46	RIGHT	9	6	6922	t.03.06	0	58080	50080
57471	8	S3013_2	FALSE	0.5	62.75	LEFT	8	9	7391	t.03.06	0	58080	50080
#VALUE!	24	S3013_2	FALSE	2.14	89.13	RIGHT	.	.	74	.	.	.	.
59513	24	S3013_2	TRUE	2.18	90.84	RIGHT	2	.	-16	t.03.07	3787	63316	59529
59756	19	S3013_2	TRUE	1.27	66.94	LEFT	1	2	227	t.03.07	3787	63316	59529
