onset	duration	RECORDING_SESSION_LABEL	CURRENT_SAC_ADJUSTED	CURRENT_SAC_AMPLITUDE	CURRENT_SAC_AVG_VELOCITY	CURRENT_SAC_DIRECTION	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_TIME	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
19690	51	S3013_3	FALSE	4.7	92.23	RIGHT	3	1	212	t.04.01	3226	22704	19478
19844	30	S3013_3	FALSE	3.1	103.17	LEFT	2	3	366	t.04.01	3226	22704	19478
20184	22	S3013_3	FALSE	1.6	72.67	RIGHT	2	2	706	t.04.01	3226	22704	19478
20567	7	S3013_3	FALSE	0.23	33.54	.	2	2	1089	t.04.01	3226	22704	19478
20714	25	S3013_3	FALSE	2.91	116.55	RIGHT	3	2	1236	t.04.01	3226	22704	19478
20971	21	S3013_3	FALSE	1.47	69.94	RIGHT	4	3	1493	t.04.01	3226	22704	19478
21141	26	S3013_3	FALSE	2.57	98.76	RIGHT	7	4	1663	t.04.01	3226	22704	19478
21321	58	S3013_3	FALSE	2.57	44.27	RIGHT	7	4	1843	t.04.01	3226	22704	19478
21473	23	S3013_3	FALSE	2.18	94.59	RIGHT	8	7	1995	t.04.01	3226	22704	19478
21660	24	S3013_3	FALSE	2.37	98.79	RIGHT	10	8	2182	t.04.01	3226	22704	19478
21966	11	S3013_3	FALSE	0.72	65.73	LEFT	9	10	2488	t.04.01	3226	22704	19478
22095	26	S3013_3	FALSE	2.81	108.19	RIGHT	11	9	2617	t.04.01	3226	22704	19478
22400	12	S3013_3	FALSE	0.76	63.48	LEFT	11	11	2922	t.04.01	3226	22704	19478
22653	65	S3013_3	FALSE	10.25	157.7	LEFT	3	11	3175	t.04.01	3226	22704	19478
24477	28	S3013_3	FALSE	2.08	74.44	RIGHT	5	4	299	t.04.02	3666	27844	24178
24765	22	S3013_3	FALSE	1.92	87.37	RIGHT	7	5	587	t.04.02	3666	27844	24178
25038	25	S3013_3	FALSE	2.46	98.57	RIGHT	9	7	860	t.04.02	3666	27844	24178
25307	13	S3013_3	FALSE	0.74	57.08	LEFT	8	9	1129	t.04.02	3666	27844	24178
25520	31	S3013_3	FALSE	3.13	100.96	LEFT	4	8	1342	t.04.02	3666	27844	24178
25681	47	S3013_3	FALSE	4.79	101.83	RIGHT	9	5	1503	t.04.02	3666	27844	24178
26171	30	S3013_3	FALSE	3.35	111.72	RIGHT	11	9	1993	t.04.02	3666	27844	24178
26485	13	S3013_3	FALSE	0.65	49.71	LEFT	11	11	2307	t.04.02	3666	27844	24178
26664	40	S3013_3	FALSE	7.38	184.59	LEFT	4	11	2486	t.04.02	3666	27844	24178
27124	16	S3013_3	FALSE	0.77	47.91	LEFT	4	4	2946	t.04.02	3666	27844	24178
27286	29	S3013_3	FALSE	2.71	93.38	RIGHT	7	4	3108	t.04.02	3666	27844	24178
27572	37	S3013_3	FALSE	1.63	44.02	RIGHT	8	6	3394	t.04.02	3666	27844	24178
#VALUE!	27	S3013_3	FALSE	0.04	1.37	.	.	.	48	.	.	.	.
29314	23	S3013_3	FALSE	0.04	1.61	.	1	1	36	t.04.03	3034	32312	29278
29524	275	S3013_3	FALSE	3.22	11.7	RIGHT	3	2	246	t.04.03	3034	32312	29278
29856	44	S3013_3	FALSE	3.25	73.77	RIGHT	3	2	578	t.04.03	3034	32312	29278
30142	11	S3013_3	FALSE	0.57	51.39	LEFT	3	3	864	t.04.03	3034	32312	29278
30366	28	S3013_3	FALSE	0.04	1.42	.	3	3	1088	t.04.03	3034	32312	29278
30439	23	S3013_3	FALSE	0.04	1.74	.	3	3	1161	t.04.03	3034	32312	29278
30710	30	S3013_3	FALSE	2.55	85.1	RIGHT	7	5	1432	t.04.03	3034	32312	29278
31041	18	S3013_3	FALSE	1.26	70.07	RIGHT	7	7	1763	t.04.03	3034	32312	29278
31240	27	S3013_3	FALSE	2.31	85.51	RIGHT	9	7	1962	t.04.03	3034	32312	29278
31474	21	S3013_3	FALSE	1.42	67.82	RIGHT	10	9	2196	t.04.03	3034	32312	29278
31721	26	S3013_3	FALSE	2.17	83.48	LEFT	8	10	2443	t.04.03	3034	32312	29278
31995	28	S3013_3	FALSE	2.51	89.72	LEFT	7	8	2717	t.04.03	3034	32312	29278
32256	28	S3013_3	FALSE	3.12	111.44	RIGHT	9	7	2978	t.04.03	3034	32312	29278
33966	26	S3013_3	FALSE	2.19	84.31	RIGHT	2	1	222	t.04.04	2266	36010	33744
34271	49	S3013_3	FALSE	2.57	52.38	RIGHT	3	2	527	t.04.04	2266	36010	33744
34569	29	S3013_3	FALSE	2.61	90	RIGHT	5	3	825	t.04.04	2266	36010	33744
34856	28	S3013_3	FALSE	2.61	93.32	RIGHT	7	5	1112	t.04.04	2266	36010	33744
35217	30	S3013_3	FALSE	2.71	90.42	RIGHT	8	7	1473	t.04.04	2266	36010	33744
35432	16	S3013_3	FALSE	0.97	60.32	RIGHT	8	8	1688	t.04.04	2266	36010	33744
35621	48	S3013_3	FALSE	5.22	108.79	LEFT	5	8	1877	t.04.04	2266	36010	33744
35984	28	S3013_3	FALSE	2.58	92.25	LEFT	3	5	2240	t.04.04	2266	36010	33744
#VALUE!	36	S3013_3	FALSE	1.29	35.7	RIGHT	.	.	72	.	.	.	.
37480	36	S3013_3	FALSE	1.29	35.7	RIGHT	2	2	-14	t.04.05	4291	41785	37494
37741	21	S3013_3	FALSE	1.14	54.48	LEFT	2	3	247	t.04.05	4291	41785	37494
37964	30	S3013_3	FALSE	3.51	116.88	RIGHT	5	2	470	t.04.05	4291	41785	37494
38553	8	S3013_3	FALSE	0.28	35.4	.	4	4	1059	t.04.05	4291	41785	37494
38705	26	S3013_3	FALSE	2.96	114.01	RIGHT	6	4	1211	t.04.05	4291	41785	37494
39015	24	S3013_3	FALSE	2.09	86.92	RIGHT	8	5	1521	t.04.05	4291	41785	37494
39242	24	S3013_3	FALSE	1.89	78.6	RIGHT	9	8	1748	t.04.05	4291	41785	37494
39573	14	S3013_3	FALSE	0.82	58.88	LEFT	9	9	2079	t.04.05	4291	41785	37494
40000	14	S3013_3	FALSE	0.71	50.91	LEFT	7	9	2506	t.04.05	4291	41785	37494
40347	29	S3013_3	FALSE	2.16	74.65	RIGHT	9	7	2853	t.04.05	4291	41785	37494
40534	27	S3013_3	FALSE	2.29	84.66	RIGHT	10	9	3040	t.04.05	4291	41785	37494
40894	16	S3013_3	FALSE	1.07	66.77	RIGHT	10	10	3400	t.04.05	4291	41785	37494
41047	43	S3013_3	FALSE	6.5	151.14	LEFT	5	10	3553	t.04.05	4291	41785	37494
41600	29	S3013_3	FALSE	2.21	76.34	LEFT	4	5	4106	t.04.05	4291	41785	37494
43460	15	S3013_3	FALSE	0.76	50.56	LEFT	2	3	233	t.04.06	2218	45445	43227
43730	28	S3013_3	FALSE	3.23	115.46	RIGHT	3	2	503	t.04.06	2218	45445	43227
44044	44	S3013_3	FALSE	2.7	61.34	RIGHT	6	3	817	t.04.06	2218	45445	43227
44495	15	S3013_3	FALSE	1.03	68.6	LEFT	5	6	1268	t.04.06	2218	45445	43227
44703	28	S3013_3	FALSE	3.51	125.24	RIGHT	7	5	1476	t.04.06	2218	45445	43227
45052	24	S3013_3	FALSE	1.93	80.3	RIGHT	9	7	1825	t.04.06	2218	45445	43227
45433	12	S3013_3	FALSE	0.59	49.15	LEFT	8	9	2206	t.04.06	2218	45445	43227
47025	22	S3013_3	FALSE	1.49	67.85	LEFT	2	2	181	t.04.07	3585	50429	46844
47358	34	S3013_3	FALSE	3.06	90.12	RIGHT	4	2	514	t.04.07	3585	50429	46844
47588	30	S3013_3	FALSE	3.34	111.26	LEFT	2	4	744	t.04.07	3585	50429	46844
47915	32	S3013_3	FALSE	4.02	125.65	RIGHT	4	2	1071	t.04.07	3585	50429	46844
48320	22	S3013_3	FALSE	1.67	75.8	RIGHT	4	4	1476	t.04.07	3585	50429	46844
48619	13	S3013_3	FALSE	0.86	65.87	LEFT	4	4	1775	t.04.07	3585	50429	46844
48863	40	S3013_3	FALSE	2.98	74.44	RIGHT	5	4	2019	t.04.07	3585	50429	46844
49164	367	S3013_3	FALSE	0.07	0.19	.	6	6	2320	t.04.07	3585	50429	46844
49569	45	S3013_3	FALSE	0.07	1.57	.	6	6	2725	t.04.07	3585	50429	46844
49785	30	S3013_3	FALSE	0.19	6.19	.	8	8	2941	t.04.07	3585	50429	46844
50224	20	S3013_3	FALSE	1.19	59.62	RIGHT	8	8	3380	t.04.07	3585	50429	46844
50386	130	S3013_3	FALSE	0.07	0.55	.	8	8	3542	t.04.07	3585	50429	46844
52071	23	S3013_3	TRUE	1.4	60.79	RIGHT	2	1	210	t.04.08	3254	55115	51861
52289	348	S3013_3	TRUE	2.96	8.51	RIGHT	3	2	428	t.04.08	3254	55115	51861
52801	28	S3013_3	TRUE	2.11	75.28	RIGHT	4	3	940	t.04.08	3254	55115	51861
53135	22	S3013_3	TRUE	1.52	69.02	RIGHT	5	4	1274	t.04.08	3254	55115	51861
53374	20	S3013_3	TRUE	1.36	68.18	RIGHT	6	5	1513	t.04.08	3254	55115	51861
53575	201	S3013_3	TRUE	1.36	6.78	RIGHT	6	5	1714	t.04.08	3254	55115	51861
53854	370	S3013_3	TRUE	2.23	6.04	RIGHT	10	8	1993	t.04.08	3254	55115	51861
54514	19	S3013_3	TRUE	1.48	78.01	RIGHT	11	9	2653	t.04.08	3254	55115	51861
54790	28	S3013_3	TRUE	2.53	90.53	LEFT	9	11	2929	t.04.08	3254	55115	51861
54947	30	S3013_3	TRUE	2.74	91.17	RIGHT	11	9	3086	t.04.08	3254	55115	51861
56610	69	S3013_3	TRUE	0.02	0.33	.	1	1	100	t.04.09	2933	59443	56510
56970	30	S3013_3	TRUE	3.08	102.76	RIGHT	4	1	460	t.04.09	2933	59443	56510
57296	21	S3013_3	TRUE	1.52	72.39	RIGHT	5	4	786	t.04.09	2933	59443	56510
57547	34	S3013_3	TRUE	3.39	99.69	LEFT	2	5	1037	t.04.09	2933	59443	56510
57770	144	S3013_3	TRUE	4.71	32.69	RIGHT	6	2	1260	t.04.09	2933	59443	56510
58008	32	S3013_3	TRUE	0.81	25.18	RIGHT	8	7	1498	t.04.09	2933	59443	56510
58356	23	S3013_3	TRUE	1.63	71.08	RIGHT	8	8	1846	t.04.09	2933	59443	56510
58588	46	S3013_3	TRUE	0.79	17.21	RIGHT	9	8	2078	t.04.09	2933	59443	56510
58726	33	S3013_3	TRUE	0.79	23.99	RIGHT	9	8	2216	t.04.09	2933	59443	56510
59079	43	S3013_3	TRUE	2.83	65.8	RIGHT	12	9	2569	t.04.09	2933	59443	56510
59462	23	S3013_3	TRUE	1.73	75.21	LEFT	11	12	2952	t.04.09	2933	59443	56510
61221	27	S3013_3	TRUE	3.07	113.55	RIGHT	4	2	327	t.04.10	2741	63635	60894
61557	26	S3013_3	TRUE	2.68	103.18	LEFT	2	4	663	t.04.10	2741	63635	60894
61904	47	S3013_3	TRUE	3.71	78.91	RIGHT	5	2	1010	t.04.10	2741	63635	60894
62174	27	S3013_3	TRUE	2.84	105.23	RIGHT	8	6	1280	t.04.10	2741	63635	60894
62579	16	S3013_3	TRUE	1.15	71.74	LEFT	7	8	1685	t.04.10	2741	63635	60894
62771	32	S3013_3	TRUE	4.15	129.71	RIGHT	.	7	1877	t.04.10	2741	63635	60894
63096	28	S3013_3	TRUE	2.24	80.09	RIGHT	12	10	2202	t.04.10	2741	63635	60894
