onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	64	S2008_5	FALSE	.	7	.	.	.	.
9402	223	S2008_5	FALSE	1	19	t.04.01	0	17383	9383
9665	189	S2008_5	FALSE	3	282	t.04.01	0	17383	9383
9894	141	S2008_5	FALSE	2	511	t.04.01	0	17383	9383
10068	172	S2008_5	FALSE	1	685	t.04.01	0	17383	9383
10264	319	S2008_5	FALSE	2	881	t.04.01	0	17383	9383
10606	306	S2008_5	FALSE	3	1223	t.04.01	0	17383	9383
10947	428	S2008_5	FALSE	2	1564	t.04.01	0	17383	9383
11406	219	S2008_5	FALSE	5	2023	t.04.01	0	17383	9383
11648	306	S2008_5	FALSE	7	2265	t.04.01	0	17383	9383
11978	243	S2008_5	FALSE	8	2595	t.04.01	0	17383	9383
12239	153	S2008_5	FALSE	9	2856	t.04.01	0	17383	9383
12425	63	S2008_5	FALSE	6	3042	t.04.01	0	17383	9383
12516	379	S2008_5	FALSE	8	3133	t.04.01	0	17383	9383
12908	106	S2008_5	FALSE	8	3525	t.04.01	0	17383	9383
13033	359	S2008_5	FALSE	9	3650	t.04.01	0	17383	9383
13413	238	S2008_5	FALSE	11	4030	t.04.01	0	17383	9383
13668	243	S2008_5	FALSE	11	4285	t.04.01	0	17383	9383
13933	196	S2008_5	FALSE	.	4550	t.04.01	0	17383	9383
14143	168	S2008_5	FALSE	.	4760	t.04.01	0	17383	9383
14518	144	S2008_5	FALSE	.	5135	t.04.01	0	17383	9383
14677	163	S2008_5	FALSE	11	5294	t.04.01	0	17383	9383
14863	195	S2008_5	FALSE	11	5480	t.04.01	0	17383	9383
15080	175	S2008_5	FALSE	11	5697	t.04.01	0	17383	9383
15273	567	S2008_5	FALSE	.	5890	t.04.01	0	17383	9383
15889	199	S2008_5	FALSE	8	6506	t.04.01	0	17383	9383
16125	231	S2008_5	FALSE	.	6742	t.04.01	0	17383	9383
16572	140	S2008_5	FALSE	.	7189	t.04.01	0	17383	9383
16727	765	S2008_5	FALSE	.	7344	t.04.01	0	17383	9383
#VALUE!	29	S2008_5	FALSE	.	7	.	.	.	.
18870	119	S2008_5	FALSE	1	138	t.04.02	0	26732	18732
19012	214	S2008_5	FALSE	3	280	t.04.02	0	26732	18732
19248	190	S2008_5	FALSE	4	516	t.04.02	0	26732	18732
19456	167	S2008_5	FALSE	6	724	t.04.02	0	26732	18732
19648	169	S2008_5	FALSE	8	916	t.04.02	0	26732	18732
19839	167	S2008_5	FALSE	9	1107	t.04.02	0	26732	18732
20029	188	S2008_5	FALSE	9	1297	t.04.02	0	26732	18732
20242	210	S2008_5	FALSE	9	1510	t.04.02	0	26732	18732
20473	159	S2008_5	FALSE	9	1741	t.04.02	0	26732	18732
20657	187	S2008_5	FALSE	9	1925	t.04.02	0	26732	18732
20867	436	S2008_5	FALSE	11	2135	t.04.02	0	26732	18732
21314	336	S2008_5	FALSE	10	2582	t.04.02	0	26732	18732
21670	93	S2008_5	FALSE	11	2938	t.04.02	0	26732	18732
21786	265	S2008_5	FALSE	.	3054	t.04.02	0	26732	18732
22060	102	S2008_5	FALSE	.	3328	t.04.02	0	26732	18732
22213	264	S2008_5	FALSE	8	3481	t.04.02	0	26732	18732
22510	237	S2008_5	FALSE	6	3778	t.04.02	0	26732	18732
22770	279	S2008_5	FALSE	4	4038	t.04.02	0	26732	18732
23076	103	S2008_5	FALSE	8	4344	t.04.02	0	26732	18732
23368	406	S2008_5	FALSE	9	4636	t.04.02	0	26732	18732
23798	197	S2008_5	FALSE	9	5066	t.04.02	0	26732	18732
24016	236	S2008_5	FALSE	11	5284	t.04.02	0	26732	18732
24277	334	S2008_5	FALSE	.	5545	t.04.02	0	26732	18732
24620	163	S2008_5	FALSE	.	5888	t.04.02	0	26732	18732
24832	50	S2008_5	FALSE	8	6100	t.04.02	0	26732	18732
24924	180	S2008_5	FALSE	3	6192	t.04.02	0	26732	18732
25124	209	S2008_5	FALSE	4	6392	t.04.02	0	26732	18732
25355	169	S2008_5	FALSE	6	6623	t.04.02	0	26732	18732
25553	207	S2008_5	FALSE	9	6821	t.04.02	0	26732	18732
25779	236	S2008_5	FALSE	9	7047	t.04.02	0	26732	18732
26041	342	S2008_5	FALSE	11	7309	t.04.02	0	26732	18732
26403	221	S2008_5	FALSE	10	7671	t.04.02	0	26732	18732
26656	113	S2008_5	FALSE	.	7924	t.04.02	0	26732	18732
#VALUE!	168	S2008_5	FALSE	.	7	.	.	.	.
28165	128	S2008_5	FALSE	1	0	t.04.03	0	36165	28165
28483	235	S2008_5	FALSE	2	318	t.04.03	0	36165	28165
28742	193	S2008_5	FALSE	2	577	t.04.03	0	36165	28165
28960	271	S2008_5	FALSE	2	795	t.04.03	0	36165	28165
29257	201	S2008_5	FALSE	5	1092	t.04.03	0	36165	28165
29480	178	S2008_5	FALSE	6	1315	t.04.03	0	36165	28165
29681	393	S2008_5	FALSE	5	1516	t.04.03	0	36165	28165
30096	308	S2008_5	FALSE	6	1931	t.04.03	0	36165	28165
30423	301	S2008_5	FALSE	7	2258	t.04.03	0	36165	28165
30747	247	S2008_5	FALSE	6	2582	t.04.03	0	36165	28165
31012	128	S2008_5	FALSE	7	2847	t.04.03	0	36165	28165
31162	258	S2008_5	FALSE	8	2997	t.04.03	0	36165	28165
31439	297	S2008_5	FALSE	9	3274	t.04.03	0	36165	28165
31760	236	S2008_5	FALSE	10	3595	t.04.03	0	36165	28165
32022	254	S2008_5	FALSE	.	3857	t.04.03	0	36165	28165
32318	295	S2008_5	FALSE	8	4153	t.04.03	0	36165	28165
32621	681	S2008_5	FALSE	8	4456	t.04.03	0	36165	28165
33322	479	S2008_5	FALSE	9	5157	t.04.03	0	36165	28165
33823	128	S2008_5	FALSE	10	5658	t.04.03	0	36165	28165
34168	213	S2008_5	FALSE	10	6003	t.04.03	0	36165	28165
34404	259	S2008_5	FALSE	.	6239	t.04.03	0	36165	28165
34710	201	S2008_5	FALSE	4	6545	t.04.03	0	36165	28165
34936	427	S2008_5	FALSE	2	6771	t.04.03	0	36165	28165
35405	278	S2008_5	FALSE	8	7240	t.04.03	0	36165	28165
35703	554	S2008_5	FALSE	8	7538	t.04.03	0	36165	28165
#VALUE!	15	S2008_5	FALSE	.	7	.	.	.	.
37694	164	S2008_5	FALSE	2	180	t.04.04	6518	44032	37514
37881	287	S2008_5	FALSE	1	367	t.04.04	6518	44032	37514
38189	522	S2008_5	FALSE	1	675	t.04.04	6518	44032	37514
38731	216	S2008_5	FALSE	1	1217	t.04.04	6518	44032	37514
38975	306	S2008_5	FALSE	2	1461	t.04.04	6518	44032	37514
39309	270	S2008_5	FALSE	5	1795	t.04.04	6518	44032	37514
39605	189	S2008_5	FALSE	7	2091	t.04.04	6518	44032	37514
39808	241	S2008_5	FALSE	7	2294	t.04.04	6518	44032	37514
40073	78	S2008_5	FALSE	6	2559	t.04.04	6518	44032	37514
40178	284	S2008_5	FALSE	8	2664	t.04.04	6518	44032	37514
40492	232	S2008_5	FALSE	.	2978	t.04.04	6518	44032	37514
40738	181	S2008_5	FALSE	.	3224	t.04.04	6518	44032	37514
41127	152	S2008_5	FALSE	.	3613	t.04.04	6518	44032	37514
41338	267	S2008_5	FALSE	.	3824	t.04.04	6518	44032	37514
41631	198	S2008_5	FALSE	3	4117	t.04.04	6518	44032	37514
41855	256	S2008_5	FALSE	5	4341	t.04.04	6518	44032	37514
42137	219	S2008_5	FALSE	7	4623	t.04.04	6518	44032	37514
42404	229	S2008_5	FALSE	2	4890	t.04.04	6518	44032	37514
42665	161	S2008_5	FALSE	5	5151	t.04.04	6518	44032	37514
42850	186	S2008_5	FALSE	7	5336	t.04.04	6518	44032	37514
43064	258	S2008_5	FALSE	8	5550	t.04.04	6518	44032	37514
43349	105	S2008_5	FALSE	.	5835	t.04.04	6518	44032	37514
43483	132	S2008_5	FALSE	8	5969	t.04.04	6518	44032	37514
43833	217	S2008_5	FALSE	.	6319	t.04.04	6518	44032	37514
44070	53	S2008_5	FALSE	.	6556	t.04.04	6518	44032	37514
#VALUE!	80	S2008_5	FALSE	.	7	.	.	.	.
45380	226	S2008_5	FALSE	2	0	t.04.05	0	53380	45380
45627	171	S2008_5	FALSE	3	247	t.04.05	0	53380	45380
45821	167	S2008_5	FALSE	4	441	t.04.05	0	53380	45380
46012	291	S2008_5	FALSE	.	632	t.04.05	0	53380	45380
46325	156	S2008_5	FALSE	8	945	t.04.05	0	53380	45380
46514	547	S2008_5	FALSE	3	1134	t.04.05	0	53380	45380
47087	249	S2008_5	FALSE	5	1707	t.04.05	0	53380	45380
47359	290	S2008_5	FALSE	9	1979	t.04.05	0	53380	45380
47670	242	S2008_5	FALSE	9	2290	t.04.05	0	53380	45380
47937	310	S2008_5	FALSE	10	2557	t.04.05	0	53380	45380
48254	115	S2008_5	FALSE	10	2874	t.04.05	0	53380	45380
48400	336	S2008_5	FALSE	7	3020	t.04.05	0	53380	45380
48771	164	S2008_5	FALSE	5	3391	t.04.05	0	53380	45380
48977	148	S2008_5	FALSE	2	3597	t.04.05	0	53380	45380
49156	144	S2008_5	FALSE	2	3776	t.04.05	0	53380	45380
49331	336	S2008_5	FALSE	6	3951	t.04.05	0	53380	45380
49736	210	S2008_5	FALSE	9	4356	t.04.05	0	53380	45380
49963	136	S2008_5	FALSE	8	4583	t.04.05	0	53380	45380
50122	207	S2008_5	FALSE	9	4742	t.04.05	0	53380	45380
50351	345	S2008_5	FALSE	10	4971	t.04.05	0	53380	45380
50721	452	S2008_5	FALSE	.	5341	t.04.05	0	53380	45380
51187	172	S2008_5	FALSE	.	5807	t.04.05	0	53380	45380
51390	138	S2008_5	FALSE	10	6010	t.04.05	0	53380	45380
51729	219	S2008_5	FALSE	10	6349	t.04.05	0	53380	45380
51972	272	S2008_5	FALSE	.	6592	t.04.05	0	53380	45380
52259	240	S2008_5	FALSE	.	6879	t.04.05	0	53380	45380
52557	353	S2008_5	FALSE	2	7177	t.04.05	0	53380	45380
52935	210	S2008_5	FALSE	2	7555	t.04.05	0	53380	45380
53169	258	S2008_5	FALSE	3	7789	t.04.05	0	53380	45380
#VALUE!	79	S2008_5	FALSE	.	7	.	.	.	.
54729	256	S2008_5	FALSE	3	0	t.04.06	3270	57999	54729
