onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	85	S3004_4	FALSE	.	7	.	.	.	.
19477	238	S3004_4	TRUE	.	0	t.03.01	5060	24537	19477
19739	240	S3004_4	TRUE	2	262	t.03.01	5060	24537	19477
19998	248	S3004_4	TRUE	2	521	t.03.01	5060	24537	19477
20269	311	S3004_4	TRUE	2	792	t.03.01	5060	24537	19477
20603	327	S3004_4	TRUE	4	1126	t.03.01	5060	24537	19477
20951	268	S3004_4	TRUE	4	1474	t.03.01	5060	24537	19477
21237	251	S3004_4	TRUE	5	1760	t.03.01	5060	24537	19477
21509	310	S3004_4	TRUE	6	2032	t.03.01	5060	24537	19477
21841	237	S3004_4	TRUE	7	2364	t.03.01	5060	24537	19477
22097	322	S3004_4	TRUE	8	2620	t.03.01	5060	24537	19477
22447	336	S3004_4	TRUE	6	2970	t.03.01	5060	24537	19477
22800	282	S3004_4	TRUE	6	3323	t.03.01	5060	24537	19477
23105	236	S3004_4	TRUE	6	3628	t.03.01	5060	24537	19477
23362	272	S3004_4	TRUE	7	3885	t.03.01	5060	24537	19477
23653	419	S3004_4	TRUE	8	4176	t.03.01	5060	24537	19477
24135	217	S3004_4	TRUE	2	4658	t.03.01	5060	24537	19477
24376	213	S3004_4	TRUE	2	4899	t.03.01	5060	24537	19477
24613	46	S3004_4	TRUE	3	5136	t.03.01	5060	24537	19477
#VALUE!	80	S3004_4	FALSE	.	7	.	.	.	.
25977	33	S3004_4	TRUE	.	0	t.03.02	3887	29864	25977
26041	189	S3004_4	TRUE	1	64	t.03.02	3887	29864	25977
26257	206	S3004_4	TRUE	1	280	t.03.02	3887	29864	25977
26487	194	S3004_4	TRUE	1	510	t.03.02	3887	29864	25977
26702	366	S3004_4	TRUE	2	725	t.03.02	3887	29864	25977
27090	189	S3004_4	TRUE	3	1113	t.03.02	3887	29864	25977
27301	227	S3004_4	TRUE	4	1324	t.03.02	3887	29864	25977
27547	286	S3004_4	TRUE	5	1570	t.03.02	3887	29864	25977
27852	293	S3004_4	TRUE	5	1875	t.03.02	3887	29864	25977
28166	435	S3004_4	TRUE	7	2189	t.03.02	3887	29864	25977
28620	321	S3004_4	TRUE	7	2643	t.03.02	3887	29864	25977
28979	315	S3004_4	TRUE	3	3002	t.03.02	3887	29864	25977
29320	317	S3004_4	TRUE	3	3343	t.03.02	3887	29864	25977
29666	222	S3004_4	TRUE	1	3689	t.03.02	3887	29864	25977
29910	47	S3004_4	TRUE	1	3933	t.03.02	3887	29864	25977
#VALUE!	85	S3004_4	FALSE	.	7	.	.	.	.
31277	24	S3004_4	TRUE	.	0	t.03.03	5858	37135	31277
31339	193	S3004_4	TRUE	2	62	t.03.03	5858	37135	31277
31563	220	S3004_4	TRUE	1	286	t.03.03	5858	37135	31277
31803	220	S3004_4	TRUE	.	526	t.03.03	5858	37135	31277
