onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	84	S3122_5	FALSE	.	7	.	.	.	.
19582	218	S3122_5	FALSE	1	0	t.05.01	5380	24962	19582
19824	169	S3122_5	FALSE	2	242	t.05.01	5380	24962	19582
20014	654	S3122_5	FALSE	1	432	t.05.01	5380	24962	19582
20688	180	S3122_5	FALSE	2	1106	t.05.01	5380	24962	19582
20886	307	S3122_5	FALSE	3	1304	t.05.01	5380	24962	19582
21206	98	S3122_5	FALSE	2	1624	t.05.01	5380	24962	19582
21328	860	S3122_5	FALSE	3	1746	t.05.01	5380	24962	19582
22213	180	S3122_5	FALSE	4	2631	t.05.01	5380	24962	19582
22412	356	S3122_5	FALSE	4	2830	t.05.01	5380	24962	19582
22785	318	S3122_5	FALSE	4	3203	t.05.01	5380	24962	19582
23130	180	S3122_5	FALSE	6	3548	t.05.01	5380	24962	19582
23329	191	S3122_5	FALSE	7	3747	t.05.01	5380	24962	19582
23542	198	S3122_5	FALSE	8	3960	t.05.01	5380	24962	19582
23760	388	S3122_5	FALSE	9	4178	t.05.01	5380	24962	19582
24171	456	S3122_5	FALSE	8	4589	t.05.01	5380	24962	19582
24649	443	S3122_5	FALSE	9	5067	t.05.01	5380	24962	19582
#VALUE!	49	S3122_5	FALSE	.	37	.	.	.	.
26482	197	S3122_5	FALSE	1	0	t.05.02	5774	32256	26482
26689	305	S3122_5	FALSE	1	207	t.05.02	5774	32256	26482
27021	367	S3122_5	FALSE	2	539	t.05.02	5774	32256	26482
27406	255	S3122_5	FALSE	4	924	t.05.02	5774	32256	26482
27680	384	S3122_5	FALSE	5	1198	t.05.02	5774	32256	26482
28094	192	S3122_5	FALSE	6	1612	t.05.02	5774	32256	26482
28299	254	S3122_5	FALSE	5	1817	t.05.02	5774	32256	26482
28575	252	S3122_5	FALSE	7	2093	t.05.02	5774	32256	26482
28848	262	S3122_5	FALSE	7	2366	t.05.02	5774	32256	26482
29122	412	S3122_5	FALSE	7	2640	t.05.02	5774	32256	26482
29557	204	S3122_5	FALSE	8	3075	t.05.02	5774	32256	26482
29779	380	S3122_5	FALSE	8	3297	t.05.02	5774	32256	26482
30178	414	S3122_5	FALSE	9	3696	t.05.02	5774	32256	26482
30758	354	S3122_5	FALSE	8	4276	t.05.02	5774	32256	26482
31134	483	S3122_5	FALSE	7	4652	t.05.02	5774	32256	26482
31630	223	S3122_5	FALSE	7	5148	t.05.02	5774	32256	26482
31866	180	S3122_5	FALSE	7	5384	t.05.02	5774	32256	26482
32069	155	S3122_5	FALSE	9	5587	t.05.02	5774	32256	26482
32251	85	S3122_5	FALSE	.	5769	t.05.02	5774	32256	26482
#VALUE!	83	S3122_5	FALSE	.	7	.	.	.	.
33782	206	S3122_5	FALSE	1	0	t.05.03	3344	37126	33782
34009	338	S3122_5	FALSE	2	227	t.05.03	3344	37126	33782
34365	267	S3122_5	FALSE	3	583	t.05.03	3344	37126	33782
34653	199	S3122_5	FALSE	4	871	t.05.03	3344	37126	33782
34870	442	S3122_5	FALSE	5	1088	t.05.03	3344	37126	33782
35322	152	S3122_5	FALSE	6	1540	t.05.03	3344	37126	33782
35493	236	S3122_5	FALSE	7	1711	t.05.03	3344	37126	33782
35749	220	S3122_5	FALSE	8	1967	t.05.03	3344	37126	33782
35990	364	S3122_5	FALSE	9	2208	t.05.03	3344	37126	33782
36375	239	S3122_5	FALSE	10	2593	t.05.03	3344	37126	33782
36633	255	S3122_5	FALSE	12	2851	t.05.03	3344	37126	33782
36895	333	S3122_5	FALSE	12	3113	t.05.03	3344	37126	33782
#VALUE!	43	S3122_5	FALSE	.	7	.	.	.	.
#VALUE!	20	S3122_5	FALSE	.	72	.	.	.	.
38648	197	S3122_5	FALSE	1	0	t.05.04	4808	43456	38648
38866	287	S3122_5	FALSE	1	218	t.05.04	4808	43456	38648
39178	229	S3122_5	FALSE	1	530	t.05.04	4808	43456	38648
39429	165	S3122_5	FALSE	2	781	t.05.04	4808	43456	38648
39614	308	S3122_5	FALSE	3	966	t.05.04	4808	43456	38648
39941	347	S3122_5	FALSE	4	1293	t.05.04	4808	43456	38648
40309	260	S3122_5	FALSE	5	1661	t.05.04	4808	43456	38648
40587	209	S3122_5	FALSE	6	1939	t.05.04	4808	43456	38648
40810	208	S3122_5	FALSE	7	2162	t.05.04	4808	43456	38648
41038	563	S3122_5	FALSE	8	2390	t.05.04	4808	43456	38648
41621	225	S3122_5	FALSE	9	2973	t.05.04	4808	43456	38648
41866	295	S3122_5	FALSE	11	3218	t.05.04	4808	43456	38648
42180	234	S3122_5	FALSE	13	3532	t.05.04	4808	43456	38648
42426	299	S3122_5	FALSE	13	3778	t.05.04	4808	43456	38648
42766	241	S3122_5	FALSE	8	4118	t.05.04	4808	43456	38648
43023	302	S3122_5	FALSE	8	4375	t.05.04	4808	43456	38648
43354	207	S3122_5	FALSE	5	4706	t.05.04	4808	43456	38648
#VALUE!	80	S3122_5	FALSE	.	7	.	.	.	.
44998	31	S3122_5	FALSE	3	0	t.05.05	6289	51287	44998
45052	235	S3122_5	FALSE	2	54	t.05.05	6289	51287	44998
45308	295	S3122_5	FALSE	.	310	t.05.05	6289	51287	44998
45620	351	S3122_5	FALSE	1	622	t.05.05	6289	51287	44998
45987	279	S3122_5	FALSE	2	989	t.05.05	6289	51287	44998
46281	222	S3122_5	FALSE	3	1283	t.05.05	6289	51287	44998
46522	315	S3122_5	FALSE	4	1524	t.05.05	6289	51287	44998
46858	213	S3122_5	FALSE	5	1860	t.05.05	6289	51287	44998
47089	215	S3122_5	FALSE	4	2091	t.05.05	6289	51287	44998
47339	186	S3122_5	FALSE	7	2341	t.05.05	6289	51287	44998
47545	296	S3122_5	FALSE	8	2547	t.05.05	6289	51287	44998
47863	426	S3122_5	FALSE	9	2865	t.05.05	6289	51287	44998
48313	439	S3122_5	FALSE	7	3315	t.05.05	6289	51287	44998
48772	453	S3122_5	FALSE	9	3774	t.05.05	6289	51287	44998
49248	258	S3122_5	FALSE	10	4250	t.05.05	6289	51287	44998
49521	394	S3122_5	FALSE	11	4523	t.05.05	6289	51287	44998
49937	313	S3122_5	FALSE	13	4939	t.05.05	6289	51287	44998
50267	236	S3122_5	FALSE	13	5269	t.05.05	6289	51287	44998
50647	193	S3122_5	FALSE	4	5649	t.05.05	6289	51287	44998
50863	535	S3122_5	FALSE	2	5865	t.05.05	6289	51287	44998
#VALUE!	81	S3122_5	FALSE	.	7	.	.	.	.
52814	421	S3122_5	FALSE	2	0	t.05.06	3498	56312	52814
53251	298	S3122_5	FALSE	3	437	t.05.06	3498	56312	52814
53569	265	S3122_5	FALSE	4	755	t.05.06	3498	56312	52814
53851	216	S3122_5	FALSE	5	1037	t.05.06	3498	56312	52814
54103	308	S3122_5	FALSE	6	1289	t.05.06	3498	56312	52814
54429	323	S3122_5	FALSE	8	1615	t.05.06	3498	56312	52814
54770	226	S3122_5	FALSE	9	1956	t.05.06	3498	56312	52814
