onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	86	S3106_1	FALSE	86	.	7	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull
19550	216	S3106_1	FALSE	216	1	0	t.05.01	5082	24632	19550
19790	120	S3106_1	FALSE	120	2	240	t.05.01	5082	24632	19550
19931	367	S3106_1	FALSE	367	1	381	t.05.01	5082	24632	19550
20324	305	S3106_1	FALSE	305	2	774	t.05.01	5082	24632	19550
20972	44	S3106_1	FALSE	44	3	1422	t.05.01	5082	24632	19550
21022	119	S3106_1	FALSE	119	3	1472	t.05.01	5082	24632	19550
21159	166	S3106_1	FALSE	166	3	1609	t.05.01	5082	24632	19550
21350	346	S3106_1	FALSE	346	4	1800	t.05.01	5082	24632	19550
21702	215	S3106_1	FALSE	215	4	2152	t.05.01	5082	24632	19550
21938	199	S3106_1	FALSE	199	6	2388	t.05.01	5082	24632	19550
22144	220	S3106_1	FALSE	220	6	2594	t.05.01	5082	24632	19550
22388	159	S3106_1	FALSE	159	.	2838	t.05.01	5082	24632	19550
22554	447	S3106_1	FALSE	447	7	3004	t.05.01	5082	24632	19550
23028	253	S3106_1	FALSE	253	9	3478	t.05.01	5082	24632	19550
23319	227	S3106_1	FALSE	227	6	3769	t.05.01	5082	24632	19550
23554	130	S3106_1	FALSE	130	6	4004	t.05.01	5082	24632	19550
23710	139	S3106_1	FALSE	139	8	4160	t.05.01	5082	24632	19550
23873	388	S3106_1	FALSE	388	9	4323	t.05.01	5082	24632	19550
24319	144	S3106_1	FALSE	144	1	4769	t.05.01	5082	24632	19550
24491	258	S3106_1	FALSE	258	1	4941	t.05.01	5082	24632	19550
#VALUE!	81	S3106_1	FALSE	81	.	7	.	.	.	.
26100	12	S3106_1	FALSE	12	1	0	t.05.02	6210	32310	26100
26137	161	S3106_1	FALSE	161	1	37	t.05.02	6210	32310	26100
26319	256	S3106_1	FALSE	256	1	219	t.05.02	6210	32310	26100
26599	408	S3106_1	FALSE	408	2	499	t.05.02	6210	32310	26100
27259	52	S3106_1	FALSE	52	1	1159	t.05.02	6210	32310	26100
27345	32	S3106_1	FALSE	32	3	1245	t.05.02	6210	32310	26100
27422	164	S3106_1	FALSE	164	4	1322	t.05.02	6210	32310	26100
27609	287	S3106_1	FALSE	287	4	1509	t.05.02	6210	32310	26100
27920	342	S3106_1	FALSE	342	5	1820	t.05.02	6210	32310	26100
28292	269	S3106_1	FALSE	269	7	2192	t.05.02	6210	32310	26100
28569	292	S3106_1	FALSE	292	7	2469	t.05.02	6210	32310	26100
28879	172	S3106_1	FALSE	172	7	2779	t.05.02	6210	32310	26100
29069	208	S3106_1	FALSE	208	7	2969	t.05.02	6210	32310	26100
29299	416	S3106_1	FALSE	416	8	3199	t.05.02	6210	32310	26100
29735	180	S3106_1	FALSE	180	8	3635	t.05.02	6210	32310	26100
29965	143	S3106_1	FALSE	143	.	3865	t.05.02	6210	32310	26100
30118	159	S3106_1	FALSE	159	6	4018	t.05.02	6210	32310	26100
30322	265	S3106_1	FALSE	265	8	4222	t.05.02	6210	32310	26100
30612	231	S3106_1	FALSE	231	9	4512	t.05.02	6210	32310	26100
30864	239	S3106_1	FALSE	239	8	4764	t.05.02	6210	32310	26100
31127	249	S3106_1	FALSE	249	9	5027	t.05.02	6210	32310	26100
31391	247	S3106_1	FALSE	247	9	5291	t.05.02	6210	32310	26100
31666	247	S3106_1	FALSE	247	7	5566	t.05.02	6210	32310	26100
31933	101	S3106_1	FALSE	101	7	5833	t.05.02	6210	32310	26100
32071	178	S3106_1	FALSE	178	8	5971	t.05.02	6210	32310	26100
32309	109	S3106_1	FALSE	109	1	6209	t.05.02	6210	32310	26100
#VALUE!	21	S3106_1	FALSE	21	.	7	.	.	.	.
#VALUE!	36	S3106_1	FALSE	36	.	49	.	.	.	.
34283	211	S3106_1	FALSE	211	1	0	t.05.03	4213	38496	34283
34507	150	S3106_1	FALSE	150	2	224	t.05.03	4213	38496	34283
34669	337	S3106_1	FALSE	337	2	386	t.05.03	4213	38496	34283
35031	267	S3106_1	FALSE	267	4	748	t.05.03	4213	38496	34283
35319	337	S3106_1	FALSE	337	5	1036	t.05.03	4213	38496	34283
35678	205	S3106_1	FALSE	205	6	1395	t.05.03	4213	38496	34283
35908	259	S3106_1	FALSE	259	4	1625	t.05.03	4213	38496	34283
36185	246	S3106_1	FALSE	246	5	1902	t.05.03	4213	38496	34283
36448	271	S3106_1	FALSE	271	5	2165	t.05.03	4213	38496	34283
36761	208	S3106_1	FALSE	208	6	2478	t.05.03	4213	38496	34283
36996	464	S3106_1	FALSE	464	7	2713	t.05.03	4213	38496	34283
37494	357	S3106_1	FALSE	357	9	3211	t.05.03	4213	38496	34283
37872	244	S3106_1	FALSE	244	10	3589	t.05.03	4213	38496	34283
38138	246	S3106_1	FALSE	246	12	3855	t.05.03	4213	38496	34283
38446	150	S3106_1	FALSE	150	2	4163	t.05.03	4213	38496	34283
#VALUE!	79	S3106_1	FALSE	79	.	7	.	.	.	.
40466	53	S3106_1	FALSE	53	3	0	t.05.04	3543	44009	40466
40544	331	S3106_1	FALSE	331	1	78	t.05.04	3543	44009	40466
40895	100	S3106_1	FALSE	100	1	429	t.05.04	3543	44009	40466
41019	167	S3106_1	FALSE	167	3	553	t.05.04	3543	44009	40466
41198	224	S3106_1	FALSE	224	3	732	t.05.04	3543	44009	40466
41446	307	S3106_1	FALSE	307	4	980	t.05.04	3543	44009	40466
41776	344	S3106_1	FALSE	344	5	1310	t.05.04	3543	44009	40466
42146	166	S3106_1	FALSE	166	7	1680	t.05.04	3543	44009	40466
42339	309	S3106_1	FALSE	309	8	1873	t.05.04	3543	44009	40466
42675	279	S3106_1	FALSE	279	11	2209	t.05.04	3543	44009	40466
