onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	79	S2101_4	FALSE	.	7	.	.	.	.
9427	163	S2101_4	FALSE	1	0	t.02.01	6437	15864	9427
9648	64	S2101_4	FALSE	6	221	t.02.01	6437	15864	9427
9758	221	S2101_4	FALSE	2	331	t.02.01	6437	15864	9427
10014	234	S2101_4	FALSE	3	587	t.02.01	6437	15864	9427
10272	95	S2101_4	FALSE	3	845	t.02.01	6437	15864	9427
10538	148	S2101_4	FALSE	5	1111	t.02.01	6437	15864	9427
10716	468	S2101_4	FALSE	5	1289	t.02.01	6437	15864	9427
11208	72	S2101_4	FALSE	6	1781	t.02.01	6437	15864	9427
11313	334	S2101_4	FALSE	8	1886	t.02.01	6437	15864	9427
11980	134	S2101_4	FALSE	10	2553	t.02.01	6437	15864	9427
12139	149	S2101_4	FALSE	10	2712	t.02.01	6437	15864	9427
12320	150	S2101_4	FALSE	10	2893	t.02.01	6437	15864	9427
12501	155	S2101_4	FALSE	9	3074	t.02.01	6437	15864	9427
12681	262	S2101_4	FALSE	10	3254	t.02.01	6437	15864	9427
12981	351	S2101_4	FALSE	.	3554	t.02.01	6437	15864	9427
13347	391	S2101_4	FALSE	10	3920	t.02.01	6437	15864	9427
13769	624	S2101_4	FALSE	.	4342	t.02.01	6437	15864	9427
14403	113	S2101_4	FALSE	.	4976	t.02.01	6437	15864	9427
14893	525	S2101_4	FALSE	7	5466	t.02.01	6437	15864	9427
15454	219	S2101_4	FALSE	9	6027	t.02.01	6437	15864	9427
15702	274	S2101_4	FALSE	10	6275	t.02.01	6437	15864	9427
17337	148	S2101_4	FALSE	1	111	t.02.02	3502	20728	17226
17516	143	S2101_4	FALSE	1	290	t.02.02	3502	20728	17226
17693	94	S2101_4	FALSE	1	467	t.02.02	3502	20728	17226
17821	177	S2101_4	FALSE	3	595	t.02.02	3502	20728	17226
18016	22	S2101_4	FALSE	3	790	t.02.02	3502	20728	17226
18225	53	S2101_4	FALSE	4	999	t.02.02	3502	20728	17226
18311	413	S2101_4	FALSE	5	1085	t.02.02	3502	20728	17226
18759	387	S2101_4	FALSE	6	1533	t.02.02	3502	20728	17226
19179	185	S2101_4	FALSE	8	1953	t.02.02	3502	20728	17226
19396	113	S2101_4	FALSE	9	2170	t.02.02	3502	20728	17226
19717	79	S2101_4	FALSE	10	2491	t.02.02	3502	20728	17226
19827	161	S2101_4	FALSE	.	2601	t.02.02	3502	20728	17226
20007	270	S2101_4	FALSE	.	2781	t.02.02	3502	20728	17226
20329	192	S2101_4	FALSE	6	3103	t.02.02	3502	20728	17226
20565	47	S2101_4	FALSE	3	3339	t.02.02	3502	20728	17226
20651	81	S2101_4	FALSE	1	3425	t.02.02	3502	20728	17226
20764	58	S2101_4	FALSE	1	3538	t.02.02	3502	20728	17226
#VALUE!	28	S2101_4	FALSE	.	7	.	.	.	.
#VALUE!	9	S2101_4	FALSE	.	77	.	.	.	.
22076	221	S2101_4	FALSE	2	0	t.02.03	4228	26304	22076
22302	247	S2101_4	FALSE	2	226	t.02.03	4228	26304	22076
22583	173	S2101_4	FALSE	3	507	t.02.03	4228	26304	22076
22780	231	S2101_4	FALSE	4	704	t.02.03	4228	26304	22076
23036	185	S2101_4	FALSE	5	960	t.02.03	4228	26304	22076
23409	146	S2101_4	FALSE	5	1333	t.02.03	4228	26304	22076
23591	156	S2101_4	FALSE	4	1515	t.02.03	4228	26304	22076
23775	232	S2101_4	FALSE	7	1699	t.02.03	4228	26304	22076
24029	165	S2101_4	FALSE	7	1953	t.02.03	4228	26304	22076
24228	185	S2101_4	FALSE	8	2152	t.02.03	4228	26304	22076
24445	119	S2101_4	FALSE	.	2369	t.02.03	4228	26304	22076
24597	172	S2101_4	FALSE	7	2521	t.02.03	4228	26304	22076
25083	80	S2101_4	FALSE	.	3007	t.02.03	4228	26304	22076
25195	156	S2101_4	FALSE	10	3119	t.02.03	4228	26304	22076
25382	428	S2101_4	FALSE	.	3306	t.02.03	4228	26304	22076
25841	204	S2101_4	FALSE	10	3765	t.02.03	4228	26304	22076
26069	130	S2101_4	FALSE	8	3993	t.02.03	4228	26304	22076
26230	109	S2101_4	FALSE	8	4154	t.02.03	4228	26304	22076
#VALUE!	65	S2101_4	FALSE	.	23	.	.	.	.
27692	66	S2101_4	FALSE	7	0	t.02.04	4068	31760	27692
27808	119	S2101_4	FALSE	2	116	t.02.04	4068	31760	27692
27970	140	S2101_4	FALSE	2	278	t.02.04	4068	31760	27692
28143	191	S2101_4	FALSE	2	451	t.02.04	4068	31760	27692
28369	170	S2101_4	FALSE	3	677	t.02.04	4068	31760	27692
28565	183	S2101_4	FALSE	2	873	t.02.04	4068	31760	27692
28786	168	S2101_4	FALSE	4	1094	t.02.04	4068	31760	27692
28988	206	S2101_4	FALSE	6	1296	t.02.04	4068	31760	27692
29228	283	S2101_4	FALSE	8	1536	t.02.04	4068	31760	27692
29534	227	S2101_4	FALSE	9	1842	t.02.04	4068	31760	27692
29990	261	S2101_4	FALSE	10	2298	t.02.04	4068	31760	27692
30283	120	S2101_4	FALSE	.	2591	t.02.04	4068	31760	27692
30422	213	S2101_4	FALSE	.	2730	t.02.04	4068	31760	27692
30657	179	S2101_4	FALSE	.	2965	t.02.04	4068	31760	27692
31114	201	S2101_4	FALSE	2	3422	t.02.04	4068	31760	27692
31373	189	S2101_4	FALSE	8	3681	t.02.04	4068	31760	27692
31594	181	S2101_4	FALSE	9	3902	t.02.04	4068	31760	27692
31804	42	S2101_4	FALSE	10	4112	t.02.04	4068	31760	27692
#VALUE!	84	S2101_4	FALSE	.	7	.	.	.	.
33125	53	S2101_4	FALSE	1	0	t.02.05	4619	37744	33125
33212	153	S2101_4	FALSE	2	87	t.02.05	4619	37744	33125
33388	189	S2101_4	FALSE	2	263	t.02.05	4619	37744	33125
33611	127	S2101_4	FALSE	2	486	t.02.05	4619	37744	33125
33772	534	S2101_4	FALSE	3	647	t.02.05	4619	37744	33125
34337	140	S2101_4	FALSE	4	1212	t.02.05	4619	37744	33125
34508	136	S2101_4	FALSE	3	1383	t.02.05	4619	37744	33125
34981	267	S2101_4	FALSE	5	1856	t.02.05	4619	37744	33125
35282	245	S2101_4	FALSE	6	2157	t.02.05	4619	37744	33125
35552	261	S2101_4	FALSE	7	2427	t.02.05	4619	37744	33125
35847	123	S2101_4	FALSE	8	2722	t.02.05	4619	37744	33125
35997	162	S2101_4	FALSE	7	2872	t.02.05	4619	37744	33125
36199	394	S2101_4	FALSE	9	3074	t.02.05	4619	37744	33125
36920	159	S2101_4	FALSE	10	3795	t.02.05	4619	37744	33125
37099	180	S2101_4	FALSE	10	3974	t.02.05	4619	37744	33125
37303	100	S2101_4	FALSE	.	4178	t.02.05	4619	37744	33125
37441	80	S2101_4	FALSE	9	4316	t.02.05	4619	37744	33125
37561	209	S2101_4	FALSE	.	4436	t.02.05	4619	37744	33125
#VALUE!	77	S2101_4	FALSE	.	9	.	.	.	.
39124	306	S2101_4	FALSE	1	0	t.02.06	3116	42240	39124
39463	155	S2101_4	FALSE	3	339	t.02.06	3116	42240	39124
39641	227	S2101_4	FALSE	4	517	t.02.06	3116	42240	39124
39901	166	S2101_4	FALSE	6	777	t.02.06	3116	42240	39124
40091	453	S2101_4	FALSE	7	967	t.02.06	3116	42240	39124
40567	161	S2101_4	FALSE	7	1443	t.02.06	3116	42240	39124
40973	182	S2101_4	FALSE	9	1849	t.02.06	3116	42240	39124
41177	258	S2101_4	FALSE	10	2053	t.02.06	3116	42240	39124
41466	220	S2101_4	FALSE	10	2342	t.02.06	3116	42240	39124
41718	48	S2101_4	FALSE	.	2594	t.02.06	3116	42240	39124
41823	194	S2101_4	FALSE	6	2699	t.02.06	3116	42240	39124
42054	239	S2101_4	FALSE	4	2930	t.02.06	3116	42240	39124
#VALUE!	81	S2101_4	FALSE	.	7	.	.	.	.
43591	77	S2101_4	FALSE	1	0	t.02.07	4313	47904	43591
43701	159	S2101_4	FALSE	1	110	t.02.07	4313	47904	43591
43894	372	S2101_4	FALSE	1	303	t.02.07	4313	47904	43591
44299	76	S2101_4	FALSE	1	708	t.02.07	4313	47904	43591
44409	508	S2101_4	FALSE	1	818	t.02.07	4313	47904	43591
44936	274	S2101_4	FALSE	1	1345	t.02.07	4313	47904	43591
45253	281	S2101_4	FALSE	2	1662	t.02.07	4313	47904	43591
45719	96	S2101_4	FALSE	3	2128	t.02.07	4313	47904	43591
45847	190	S2101_4	FALSE	4	2256	t.02.07	4313	47904	43591
46059	101	S2101_4	FALSE	5	2468	t.02.07	4313	47904	43591
46383	315	S2101_4	FALSE	5	2792	t.02.07	4313	47904	43591
46738	376	S2101_4	FALSE	7	3147	t.02.07	4313	47904	43591
47149	177	S2101_4	FALSE	10	3558	t.02.07	4313	47904	43591
47359	163	S2101_4	FALSE	10	3768	t.02.07	4313	47904	43591
47555	146	S2101_4	FALSE	.	3964	t.02.07	4313	47904	43591
47872	123	S2101_4	FALSE	5	4281	t.02.07	4313	47904	43591
#VALUE!	84	S2101_4	FALSE	.	7	.	.	.	.
49290	182	S2101_4	FALSE	3	0	t.02.08	2726	52016	49290
49504	204	S2101_4	FALSE	2	214	t.02.08	2726	52016	49290
49744	124	S2101_4	FALSE	3	454	t.02.08	2726	52016	49290
49902	236	S2101_4	FALSE	5	612	t.02.08	2726	52016	49290
50173	309	S2101_4	FALSE	7	883	t.02.08	2726	52016	49290
50500	169	S2101_4	FALSE	7	1210	t.02.08	2726	52016	49290
51052	132	S2101_4	FALSE	9	1762	t.02.08	2726	52016	49290
51208	271	S2101_4	FALSE	9	1918	t.02.08	2726	52016	49290
51507	178	S2101_4	FALSE	.	2217	t.02.08	2726	52016	49290
51711	156	S2101_4	FALSE	.	2421	t.02.08	2726	52016	49290
51885	79	S2101_4	FALSE	.	2595	t.02.08	2726	52016	49290
52017	94	S2101_4	FALSE	7	2727	t.02.08	2726	52016	49290
#VALUE!	82	S2101_4	FALSE	.	7	.	.	.	.
53373	4	S2101_4	FALSE	2	0	t.02.09	4298	57672	53373
53394	159	S2101_4	FALSE	2	21	t.02.09	4298	57672	53373
53587	241	S2101_4	FALSE	2	214	t.02.09	4298	57672	53373
53852	118	S2101_4	FALSE	.	479	t.02.09	4298	57672	53373
53998	542	S2101_4	FALSE	2	625	t.02.09	4298	57672	53373
54563	575	S2101_4	FALSE	4	1190	t.02.09	4298	57672	53373
55159	130	S2101_4	FALSE	4	1786	t.02.09	4298	57672	53373
55319	204	S2101_4	FALSE	5	1946	t.02.09	4298	57672	53373
55548	92	S2101_4	FALSE	4	2175	t.02.09	4298	57672	53373
55675	155	S2101_4	FALSE	5	2302	t.02.09	4298	57672	53373
55860	171	S2101_4	FALSE	6	2487	t.02.09	4298	57672	53373
56214	264	S2101_4	FALSE	7	2841	t.02.09	4298	57672	53373
56512	115	S2101_4	FALSE	9	3139	t.02.09	4298	57672	53373
56659	180	S2101_4	FALSE	10	3286	t.02.09	4298	57672	53373
56845	411	S2101_4	FALSE	10	3472	t.02.09	4298	57672	53373
57292	207	S2101_4	FALSE	.	3919	t.02.09	4298	57672	53373
57518	240	S2101_4	FALSE	.	4145	t.02.09	4298	57672	53373
#VALUE!	82	S2101_4	FALSE	.	7	.	.	.	.
59089	194	S2101_4	FALSE	2	0	t.02.10	4206	63295	59089
59317	212	S2101_4	FALSE	2	228	t.02.10	4206	63295	59089
59554	158	S2101_4	FALSE	2	465	t.02.10	4206	63295	59089
59747	345	S2101_4	FALSE	3	658	t.02.10	4206	63295	59089
60131	227	S2101_4	FALSE	5	1042	t.02.10	4206	63295	59089
60384	148	S2101_4	FALSE	7	1295	t.02.10	4206	63295	59089
60736	147	S2101_4	FALSE	7	1647	t.02.10	4206	63295	59089
60926	217	S2101_4	FALSE	5	1837	t.02.10	4206	63295	59089
61165	147	S2101_4	FALSE	5	2076	t.02.10	4206	63295	59089
61336	172	S2101_4	FALSE	5	2247	t.02.10	4206	63295	59089
61534	208	S2101_4	FALSE	7	2445	t.02.10	4206	63295	59089
61776	252	S2101_4	FALSE	8	2687	t.02.10	4206	63295	59089
62053	79	S2101_4	FALSE	9	2964	t.02.10	4206	63295	59089
62166	104	S2101_4	FALSE	8	3077	t.02.10	4206	63295	59089
62290	324	S2101_4	FALSE	8	3201	t.02.10	4206	63295	59089
62637	256	S2101_4	FALSE	9	3548	t.02.10	4206	63295	59089
62925	286	S2101_4	FALSE	9	3836	t.02.10	4206	63295	59089
63244	161	S2101_4	FALSE	.	4155	t.02.10	4206	63295	59089
#VALUE!	81	S2101_4	FALSE	.	7	.	.	.	.
64656	100	S2101_4	FALSE	3	0	t.02.11	5159	69815	64656
64775	442	S2101_4	FALSE	2	119	t.02.11	5159	69815	64656
65240	150	S2101_4	FALSE	3	584	t.02.11	5159	69815	64656
65413	34	S2101_4	FALSE	3	757	t.02.11	5159	69815	64656
65782	284	S2101_4	FALSE	3	1126	t.02.11	5159	69815	64656
66095	262	S2101_4	FALSE	3	1439	t.02.11	5159	69815	64656
66392	241	S2101_4	FALSE	4	1736	t.02.11	5159	69815	64656
66644	378	S2101_4	FALSE	4	1988	t.02.11	5159	69815	64656
67037	59	S2101_4	FALSE	4	2381	t.02.11	5159	69815	64656
67133	482	S2101_4	FALSE	6	2477	t.02.11	5159	69815	64656
67642	258	S2101_4	FALSE	8	2986	t.02.11	5159	69815	64656
67924	283	S2101_4	FALSE	9	3268	t.02.11	5159	69815	64656
68239	128	S2101_4	FALSE	.	3583	t.02.11	5159	69815	64656
68400	307	S2101_4	FALSE	9	3744	t.02.11	5159	69815	64656
68737	314	S2101_4	FALSE	.	4081	t.02.11	5159	69815	64656
69066	201	S2101_4	FALSE	9	4410	t.02.11	5159	69815	64656
69566	118	S2101_4	FALSE	9	4910	t.02.11	5159	69815	64656
69720	148	S2101_4	FALSE	.	5064	t.02.11	5159	69815	64656
#VALUE!	80	S2101_4	FALSE	.	7	.	.	.	.
71222	194	S2101_4	FALSE	2	0	t.02.12	5841	77063	71222
71447	102	S2101_4	FALSE	1	225	t.02.12	5841	77063	71222
71582	191	S2101_4	FALSE	2	360	t.02.12	5841	77063	71222
71793	235	S2101_4	FALSE	.	571	t.02.12	5841	77063	71222
72071	360	S2101_4	FALSE	2	849	t.02.12	5841	77063	71222
72454	171	S2101_4	FALSE	2	1232	t.02.12	5841	77063	71222
72970	336	S2101_4	FALSE	2	1748	t.02.12	5841	77063	71222
73342	351	S2101_4	FALSE	4	2120	t.02.12	5841	77063	71222
73882	120	S2101_4	FALSE	5	2660	t.02.12	5841	77063	71222
74025	146	S2101_4	FALSE	4	2803	t.02.12	5841	77063	71222
74209	174	S2101_4	FALSE	6	2987	t.02.12	5841	77063	71222
74412	293	S2101_4	FALSE	5	3190	t.02.12	5841	77063	71222
74739	186	S2101_4	FALSE	8	3517	t.02.12	5841	77063	71222
74959	264	S2101_4	FALSE	9	3737	t.02.12	5841	77063	71222
75257	158	S2101_4	FALSE	10	4035	t.02.12	5841	77063	71222
75440	148	S2101_4	FALSE	10	4218	t.02.12	5841	77063	71222
75617	333	S2101_4	FALSE	12	4395	t.02.12	5841	77063	71222
75964	294	S2101_4	FALSE	12	4742	t.02.12	5841	77063	71222
76277	150	S2101_4	FALSE	12	5055	t.02.12	5841	77063	71222
76588	114	S2101_4	FALSE	.	5366	t.02.12	5841	77063	71222
76720	149	S2101_4	FALSE	.	5498	t.02.12	5841	77063	71222
76904	163	S2101_4	FALSE	10	5682	t.02.12	5841	77063	71222
77091	73	S2101_4	FALSE	10	5869	t.02.12	5841	77063	71222
#VALUE!	81	S2101_4	FALSE	.	7	.	.	.	.
78421	62	S2101_4	FALSE	2	0	t.02.13	3938	82359	78421
78489	169	S2101_4	FALSE	2	68	t.02.13	3938	82359	78421
78682	253	S2101_4	FALSE	2	261	t.02.13	3938	82359	78421
78959	231	S2101_4	FALSE	2	538	t.02.13	3938	82359	78421
79512	136	S2101_4	FALSE	4	1091	t.02.13	3938	82359	78421
79682	241	S2101_4	FALSE	4	1261	t.02.13	3938	82359	78421
79948	273	S2101_4	FALSE	5	1527	t.02.13	3938	82359	78421
80254	194	S2101_4	FALSE	6	1833	t.02.13	3938	82359	78421
80472	177	S2101_4	FALSE	7	2051	t.02.13	3938	82359	78421
80675	279	S2101_4	FALSE	8	2254	t.02.13	3938	82359	78421
80979	266	S2101_4	FALSE	8	2558	t.02.13	3938	82359	78421
81281	430	S2101_4	FALSE	8	2860	t.02.13	3938	82359	78421
81752	274	S2101_4	FALSE	9	3331	t.02.13	3938	82359	78421
82057	166	S2101_4	FALSE	9	3636	t.02.13	3938	82359	78421
82260	178	S2101_4	FALSE	.	3839	t.02.13	3938	82359	78421
#VALUE!	83	S2101_4	FALSE	.	7	.	.	.	.
83754	109	S2101_4	FALSE	2	0	t.02.14	3925	87679	83754
83894	106	S2101_4	FALSE	2	140	t.02.14	3925	87679	83754
84030	170	S2101_4	FALSE	1	276	t.02.14	3925	87679	83754
84236	159	S2101_4	FALSE	3	482	t.02.14	3925	87679	83754
84426	138	S2101_4	FALSE	3	672	t.02.14	3925	87679	83754
84602	216	S2101_4	FALSE	2	848	t.02.14	3925	87679	83754
84855	214	S2101_4	FALSE	4	1101	t.02.14	3925	87679	83754
85102	227	S2101_4	FALSE	5	1348	t.02.14	3925	87679	83754
85347	26	S2101_4	FALSE	5	1593	t.02.14	3925	87679	83754
85409	265	S2101_4	FALSE	7	1655	t.02.14	3925	87679	83754
85697	176	S2101_4	FALSE	8	1943	t.02.14	3925	87679	83754
86048	157	S2101_4	FALSE	10	2294	t.02.14	3925	87679	83754
86231	70	S2101_4	FALSE	10	2477	t.02.14	3925	87679	83754
86336	185	S2101_4	FALSE	12	2582	t.02.14	3925	87679	83754
86534	303	S2101_4	FALSE	12	2780	t.02.14	3925	87679	83754
86867	183	S2101_4	FALSE	.	3113	t.02.14	3925	87679	83754
87067	429	S2101_4	FALSE	.	3313	t.02.14	3925	87679	83754
87533	137	S2101_4	FALSE	12	3779	t.02.14	3925	87679	83754
87697	90	S2101_4	FALSE	12	3943	t.02.14	3925	87679	83754
#VALUE!	76	S2101_4	FALSE	.	7	.	.	.	.
89037	225	S2101_4	FALSE	2	0	t.02.15	3042	92079	89037
89273	162	S2101_4	FALSE	2	236	t.02.15	3042	92079	89037
89466	168	S2101_4	FALSE	3	429	t.02.15	3042	92079	89037
89671	251	S2101_4	FALSE	2	634	t.02.15	3042	92079	89037
89945	111	S2101_4	FALSE	3	908	t.02.15	3042	92079	89037
90091	182	S2101_4	FALSE	4	1054	t.02.15	3042	92079	89037
90291	178	S2101_4	FALSE	5	1254	t.02.15	3042	92079	89037
90493	152	S2101_4	FALSE	6	1456	t.02.15	3042	92079	89037
90663	287	S2101_4	FALSE	7	1626	t.02.15	3042	92079	89037
91154	191	S2101_4	FALSE	9	2117	t.02.15	3042	92079	89037
91370	163	S2101_4	FALSE	10	2333	t.02.15	3042	92079	89037
