onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	82	S2006_2	FALSE	.	7	.	.	.	.
9374	187	S2006_2	FALSE	1	0	t.03.01	2977	12351	9374
9591	137	S2006_2	FALSE	3	217	t.03.01	2977	12351	9374
9745	199	S2006_2	FALSE	2	371	t.03.01	2977	12351	9374
9968	141	S2006_2	FALSE	3	594	t.03.01	2977	12351	9374
10132	189	S2006_2	FALSE	4	758	t.03.01	2977	12351	9374
10339	170	S2006_2	FALSE	6	965	t.03.01	2977	12351	9374
10528	259	S2006_2	FALSE	6	1154	t.03.01	2977	12351	9374
10807	149	S2006_2	FALSE	7	1433	t.03.01	2977	12351	9374
10980	363	S2006_2	FALSE	8	1606	t.03.01	2977	12351	9374
11354	221	S2006_2	FALSE	8	1980	t.03.01	2977	12351	9374
11614	206	S2006_2	FALSE	6	2240	t.03.01	2977	12351	9374
11831	226	S2006_2	FALSE	6	2457	t.03.01	2977	12351	9374
12100	210	S2006_2	FALSE	.	2726	t.03.01	2977	12351	9374
12370	102	S2006_2	FALSE	4	2996	t.03.01	2977	12351	9374
#VALUE!	80	S2006_2	FALSE	.	7	.	.	.	.
13707	180	S2006_2	FALSE	1	0	t.03.02	2484	16191	13707
13907	161	S2006_2	FALSE	1	200	t.03.02	2484	16191	13707
14088	93	S2006_2	FALSE	2	381	t.03.02	2484	16191	13707
14202	146	S2006_2	FALSE	3	495	t.03.02	2484	16191	13707
14371	167	S2006_2	FALSE	3	664	t.03.02	2484	16191	13707
14561	127	S2006_2	FALSE	5	854	t.03.02	2484	16191	13707
14703	211	S2006_2	FALSE	6	996	t.03.02	2484	16191	13707
14941	405	S2006_2	FALSE	7	1234	t.03.02	2484	16191	13707
15598	228	S2006_2	FALSE	.	1891	t.03.02	2484	16191	13707
15884	231	S2006_2	FALSE	3	2177	t.03.02	2484	16191	13707
16141	143	S2006_2	FALSE	1	2434	t.03.02	2484	16191	13707
#VALUE!	87	S2006_2	FALSE	.	7	.	.	.	.
17541	179	S2006_2	FALSE	1	0	t.03.03	4754	22295	17541
17738	150	S2006_2	FALSE	2	197	t.03.03	4754	22295	17541
17905	247	S2006_2	FALSE	3	364	t.03.03	4754	22295	17541
18173	198	S2006_2	FALSE	5	632	t.03.03	4754	22295	17541
18392	172	S2006_2	FALSE	6	851	t.03.03	4754	22295	17541
18581	179	S2006_2	FALSE	7	1040	t.03.03	4754	22295	17541
18782	185	S2006_2	FALSE	9	1241	t.03.03	4754	22295	17541
18987	183	S2006_2	FALSE	10	1446	t.03.03	4754	22295	17541
19191	183	S2006_2	FALSE	11	1650	t.03.03	4754	22295	17541
19393	303	S2006_2	FALSE	13	1852	t.03.03	4754	22295	17541
19709	59	S2006_2	FALSE	13	2168	t.03.03	4754	22295	17541
19782	90	S2006_2	FALSE	.	2241	t.03.03	4754	22295	17541
19900	217	S2006_2	FALSE	11	2359	t.03.03	4754	22295	17541
20408	118	S2006_2	FALSE	.	2867	t.03.03	4754	22295	17541
20531	52	S2006_2	FALSE	.	2990	t.03.03	4754	22295	17541
21445	162	S2006_2	FALSE	9	3904	t.03.03	4754	22295	17541
21616	165	S2006_2	FALSE	9	4075	t.03.03	4754	22295	17541
