onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	79	S3122_3	FALSE	.	7	.	.	.	.
19579	130	S3122_3	FALSE	.	0	t.03.01	6788	26367	19579
19744	160	S3122_3	FALSE	.	165	t.03.01	6788	26367	19579
19956	125	S3122_3	FALSE	4	377	t.03.01	6788	26367	19579
20118	243	S3122_3	FALSE	2	539	t.03.01	6788	26367	19579
20381	271	S3122_3	FALSE	2	802	t.03.01	6788	26367	19579
20671	191	S3122_3	FALSE	3	1092	t.03.01	6788	26367	19579
20877	510	S3122_3	FALSE	4	1298	t.03.01	6788	26367	19579
21408	395	S3122_3	FALSE	4	1829	t.03.01	6788	26367	19579
21819	199	S3122_3	FALSE	5	2240	t.03.01	6788	26367	19579
22034	239	S3122_3	FALSE	6	2455	t.03.01	6788	26367	19579
22295	344	S3122_3	FALSE	6	2716	t.03.01	6788	26367	19579
22659	222	S3122_3	FALSE	8	3080	t.03.01	6788	26367	19579
22900	634	S3122_3	FALSE	8	3321	t.03.01	6788	26367	19579
23562	413	S3122_3	FALSE	6	3983	t.03.01	6788	26367	19579
23989	304	S3122_3	FALSE	6	4410	t.03.01	6788	26367	19579
24311	150	S3122_3	FALSE	6	4732	t.03.01	6788	26367	19579
24489	475	S3122_3	FALSE	8	4910	t.03.01	6788	26367	19579
24978	343	S3122_3	FALSE	8	5399	t.03.01	6788	26367	19579
25326	308	S3122_3	FALSE	8	5747	t.03.01	6788	26367	19579
25642	220	S3122_3	FALSE	8	6063	t.03.01	6788	26367	19579
25874	358	S3122_3	FALSE	8	6295	t.03.01	6788	26367	19579
26245	263	S3122_3	FALSE	8	6666	t.03.01	6788	26367	19579
#VALUE!	78	S3122_3	FALSE	.	7	.	.	.	.
27945	312	S3122_3	FALSE	1	0	t.03.02	2552	30497	27945
28270	212	S3122_3	FALSE	1	325	t.03.02	2552	30497	27945
28520	187	S3122_3	FALSE	2	575	t.03.02	2552	30497	27945
28729	393	S3122_3	FALSE	3	784	t.03.02	2552	30497	27945
29132	320	S3122_3	FALSE	3	1187	t.03.02	2552	30497	27945
29468	88	S3122_3	FALSE	3	1523	t.03.02	2552	30497	27945
29592	221	S3122_3	FALSE	5	1647	t.03.02	2552	30497	27945
29830	213	S3122_3	FALSE	5	1885	t.03.02	2552	30497	27945
30065	256	S3122_3	FALSE	7	2120	t.03.02	2552	30497	27945
30345	249	S3122_3	FALSE	8	2400	t.03.02	2552	30497	27945
#VALUE!	57	S3122_3	FALSE	.	31	.	.	.	.
32029	452	S3122_3	FALSE	2	0	t.03.03	3711	35740	32029
32500	162	S3122_3	FALSE	3	471	t.03.03	3711	35740	32029
32678	189	S3122_3	FALSE	2	649	t.03.03	3711	35740	32029
32887	237	S3122_3	FALSE	1	858	t.03.03	3711	35740	32029
33151	186	S3122_3	FALSE	3	1122	t.03.03	3711	35740	32029
33359	329	S3122_3	FALSE	4	1330	t.03.03	3711	35740	32029
33709	223	S3122_3	FALSE	6	1680	t.03.03	3711	35740	32029
33951	251	S3122_3	FALSE	6	1922	t.03.03	3711	35740	32029
34221	255	S3122_3	FALSE	7	2192	t.03.03	3711	35740	32029
34494	179	S3122_3	FALSE	9	2465	t.03.03	3711	35740	32029
34691	218	S3122_3	FALSE	10	2662	t.03.03	3711	35740	32029
34931	253	S3122_3	FALSE	11	2902	t.03.03	3711	35740	32029
