onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	83	S3009_3	FALSE	.	7	.	.	.	.
19482	96	S3009_3	FALSE	1	0	t.01.01	2577	22059	19482
19854	163	S3009_3	FALSE	1	372	t.01.01	2577	22059	19482
20029	290	S3009_3	FALSE	2	547	t.01.01	2577	22059	19482
20336	239	S3009_3	FALSE	3	854	t.01.01	2577	22059	19482
20596	308	S3009_3	FALSE	5	1114	t.01.01	2577	22059	19482
20917	249	S3009_3	FALSE	5	1435	t.01.01	2577	22059	19482
21174	211	S3009_3	FALSE	6	1692	t.01.01	2577	22059	19482
21400	144	S3009_3	FALSE	6	1918	t.01.01	2577	22059	19482
21811	137	S3009_3	FALSE	6	2329	t.01.01	2577	22059	19482
21992	189	S3009_3	FALSE	1	2510	t.01.01	2577	22059	19482
23701	304	S3009_3	FALSE	.	203	t.01.02	2693	26191	23498
24030	180	S3009_3	FALSE	1	532	t.01.02	2693	26191	23498
24223	144	S3009_3	FALSE	2	725	t.01.02	2693	26191	23498
24382	228	S3009_3	FALSE	3	884	t.01.02	2693	26191	23498
24628	104	S3009_3	FALSE	4	1130	t.01.02	2693	26191	23498
24755	219	S3009_3	FALSE	5	1257	t.01.02	2693	26191	23498
24990	225	S3009_3	FALSE	6	1492	t.01.02	2693	26191	23498
25236	181	S3009_3	FALSE	8	1738	t.01.02	2693	26191	23498
25434	214	S3009_3	FALSE	9	1936	t.01.02	2693	26191	23498
25661	111	S3009_3	FALSE	10	2163	t.01.02	2693	26191	23498
26211	81	S3009_3	FALSE	10	2713	t.01.02	2693	26191	23498
27737	148	S3009_3	FALSE	.	172	t.01.03	3362	30928	27565
27903	172	S3009_3	FALSE	1	338	t.01.03	3362	30928	27565
28095	269	S3009_3	FALSE	3	530	t.01.03	3362	30928	27565
28381	170	S3009_3	FALSE	4	816	t.01.03	3362	30928	27565
28572	191	S3009_3	FALSE	5	1007	t.01.03	3362	30928	27565
28778	247	S3009_3	FALSE	6	1213	t.01.03	3362	30928	27565
29033	67	S3009_3	FALSE	6	1468	t.01.03	3362	30928	27565
29121	94	S3009_3	FALSE	8	1556	t.01.03	3362	30928	27565
29450	82	S3009_3	FALSE	8	1885	t.01.03	3362	30928	27565
29549	284	S3009_3	FALSE	10	1984	t.01.03	3362	30928	27565
29844	213	S3009_3	FALSE	10	2279	t.01.03	3362	30928	27565
30295	141	S3009_3	FALSE	11	2730	t.01.03	3362	30928	27565
30462	189	S3009_3	FALSE	8	2897	t.01.03	3362	30928	27565
30671	246	S3009_3	FALSE	7	3106	t.01.03	3362	30928	27565
30940	78	S3009_3	FALSE	5	3375	t.01.03	3362	30928	27565
#VALUE!	82	S3009_3	FALSE	.	7	.	.	.	.
32382	215	S3009_3	FALSE	1	0	t.01.04	2923	35305	32382
32610	151	S3009_3	FALSE	2	228	t.01.04	2923	35305	32382
32780	189	S3009_3	FALSE	3	398	t.01.04	2923	35305	32382
32985	115	S3009_3	FALSE	3	603	t.01.04	2923	35305	32382
33291	22	S3009_3	FALSE	.	909	t.01.04	2923	35305	32382
33715	260	S3009_3	FALSE	5	1333	t.01.04	2923	35305	32382
33990	211	S3009_3	FALSE	6	1608	t.01.04	2923	35305	32382
34223	239	S3009_3	FALSE	9	1841	t.01.04	2923	35305	32382
34481	97	S3009_3	FALSE	10	2099	t.01.04	2923	35305	32382
35203	110	S3009_3	FALSE	9	2821	t.01.04	2923	35305	32382
35342	64	S3009_3	FALSE	7	2960	t.01.04	2923	35305	32382
#VALUE!	55	S3009_3	FALSE	.	7	.	.	.	.
37036	21	S3009_3	TRUE	1	288	t.01.05	2787	39535	36748
37077	245	S3009_3	TRUE	1	329	t.01.05	2787	39535	36748
37347	315	S3009_3	TRUE	4	599	t.01.05	2787	39535	36748
37677	269	S3009_3	TRUE	5	929	t.01.05	2787	39535	36748
37966	229	S3009_3	TRUE	6	1218	t.01.05	2787	39535	36748
38215	227	S3009_3	TRUE	7	1467	t.01.05	2787	39535	36748
38462	121	S3009_3	TRUE	8	1714	t.01.05	2787	39535	36748
38738	37	S3009_3	TRUE	.	1990	t.01.05	2787	39535	36748
39020	67	S3009_3	TRUE	10	2272	t.01.05	2787	39535	36748
39104	152	S3009_3	TRUE	11	2356	t.01.05	2787	39535	36748
39276	207	S3009_3	TRUE	12	2528	t.01.05	2787	39535	36748
39495	132	S3009_3	TRUE	12	2747	t.01.05	2787	39535	36748
#VALUE!	81	S3009_3	FALSE	.	7	.	.	.	.
40948	84	S3009_3	FALSE	.	0	t.01.06	3710	44658	40948
41074	108	S3009_3	FALSE	5	126	t.01.06	3710	44658	40948
41220	39	S3009_3	FALSE	2	272	t.01.06	3710	44658	40948
41286	327	S3009_3	FALSE	1	338	t.01.06	3710	44658	40948
41633	286	S3009_3	FALSE	3	685	t.01.06	3710	44658	40948
41931	182	S3009_3	FALSE	4	983	t.01.06	3710	44658	40948
42125	235	S3009_3	FALSE	5	1177	t.01.06	3710	44658	40948
42380	114	S3009_3	FALSE	6	1432	t.01.06	3710	44658	40948
42729	308	S3009_3	FALSE	6	1781	t.01.06	3710	44658	40948
43054	182	S3009_3	FALSE	7	2106	t.01.06	3710	44658	40948
43257	283	S3009_3	FALSE	9	2309	t.01.06	3710	44658	40948
43564	449	S3009_3	FALSE	10	2616	t.01.06	3710	44658	40948
44030	237	S3009_3	FALSE	11	3082	t.01.06	3710	44658	40948
44318	98	S3009_3	FALSE	5	3370	t.01.06	3710	44658	40948
44654	23	S3009_3	FALSE	4	3706	t.01.06	3710	44658	40948
44683	69	S3009_3	FALSE	5	3735	t.01.06	3710	44658	40948
#VALUE!	81	S3009_3	FALSE	.	7	.	.	.	.
46098	90	S3009_3	FALSE	2	0	t.01.07	4078	50176	46098
46205	425	S3009_3	FALSE	2	107	t.01.07	4078	50176	46098
46648	194	S3009_3	FALSE	2	550	t.01.07	4078	50176	46098
46857	133	S3009_3	FALSE	2	759	t.01.07	4078	50176	46098
47009	288	S3009_3	FALSE	4	911	t.01.07	4078	50176	46098
47317	140	S3009_3	FALSE	5	1219	t.01.07	4078	50176	46098
47667	185	S3009_3	FALSE	6	1569	t.01.07	4078	50176	46098
47877	384	S3009_3	FALSE	7	1779	t.01.07	4078	50176	46098
48284	296	S3009_3	FALSE	8	2186	t.01.07	4078	50176	46098
48595	206	S3009_3	FALSE	9	2497	t.01.07	4078	50176	46098
49011	70	S3009_3	FALSE	9	2913	t.01.07	4078	50176	46098
49102	266	S3009_3	FALSE	10	3004	t.01.07	4078	50176	46098
49407	272	S3009_3	FALSE	7	3309	t.01.07	4078	50176	46098
49932	158	S3009_3	FALSE	7	3834	t.01.07	4078	50176	46098
50114	112	S3009_3	FALSE	8	4016	t.01.07	4078	50176	46098
50247	30	S3009_3	FALSE	9	4149	t.01.07	4078	50176	46098
#VALUE!	86	S3009_3	FALSE	.	7	.	.	.	.
51614	201	S3009_3	FALSE	1	0	t.01.08	2412	54026	51614
51829	216	S3009_3	FALSE	1	215	t.01.08	2412	54026	51614
52058	199	S3009_3	FALSE	2	444	t.01.08	2412	54026	51614
52277	237	S3009_3	FALSE	1	663	t.01.08	2412	54026	51614
52553	269	S3009_3	FALSE	4	939	t.01.08	2412	54026	51614
52840	160	S3009_3	FALSE	5	1226	t.01.08	2412	54026	51614
53016	193	S3009_3	FALSE	6	1402	t.01.08	2412	54026	51614
53221	181	S3009_3	FALSE	7	1607	t.01.08	2412	54026	51614
53441	105	S3009_3	FALSE	9	1827	t.01.08	2412	54026	51614
53807	38	S3009_3	FALSE	9	2193	t.01.08	2412	54026	51614
53869	259	S3009_3	FALSE	10	2255	t.01.08	2412	54026	51614
#VALUE!	84	S3009_3	FALSE	.	7	.	.	.	.
55398	33	S3009_3	FALSE	.	0	t.01.09	4388	59786	55398
55455	193	S3009_3	FALSE	3	57	t.01.09	4388	59786	55398
55669	112	S3009_3	FALSE	2	271	t.01.09	4388	59786	55398
55804	147	S3009_3	FALSE	2	406	t.01.09	4388	59786	55398
55965	187	S3009_3	FALSE	1	567	t.01.09	4388	59786	55398
56195	367	S3009_3	FALSE	5	797	t.01.09	4388	59786	55398
56578	379	S3009_3	FALSE	4	1180	t.01.09	4388	59786	55398
56989	191	S3009_3	FALSE	5	1591	t.01.09	4388	59786	55398
57416	61	S3009_3	FALSE	6	2018	t.01.09	4388	59786	55398
57498	226	S3009_3	FALSE	7	2100	t.01.09	4388	59786	55398
57731	209	S3009_3	FALSE	7	2333	t.01.09	4388	59786	55398
57953	164	S3009_3	FALSE	8	2555	t.01.09	4388	59786	55398
