onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	81	S3002_2	FALSE	.	7	.	.	.	.
19454	375	S3002_2	FALSE	2	0	t.02.01	5461	24915	19454
19841	460	S3002_2	FALSE	1	387	t.02.01	5461	24915	19454
20485	188	S3002_2	FALSE	1	1031	t.02.01	5461	24915	19454
20683	215	S3002_2	FALSE	1	1229	t.02.01	5461	24915	19454
20912	386	S3002_2	FALSE	2	1458	t.02.01	5461	24915	19454
21312	443	S3002_2	FALSE	3	1858	t.02.01	5461	24915	19454
21761	441	S3002_2	FALSE	3	2307	t.02.01	5461	24915	19454
22226	370	S3002_2	FALSE	4	2772	t.02.01	5461	24915	19454
22610	379	S3002_2	FALSE	5	3156	t.02.01	5461	24915	19454
23008	466	S3002_2	FALSE	6	3554	t.02.01	5461	24915	19454
23496	151	S3002_2	FALSE	7	4042	t.02.01	5461	24915	19454
23666	348	S3002_2	FALSE	6	4212	t.02.01	5461	24915	19454
24032	113	S3002_2	FALSE	8	4578	t.02.01	5461	24915	19454
24165	351	S3002_2	FALSE	9	4711	t.02.01	5461	24915	19454
24535	505	S3002_2	FALSE	10	5081	t.02.01	5461	24915	19454
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
26420	52	S3002_2	FALSE	1	0	t.02.02	0	34420	26420
26503	189	S3002_2	FALSE	2	83	t.02.02	0	34420	26420
26718	374	S3002_2	FALSE	1	298	t.02.02	0	34420	26420
27101	421	S3002_2	FALSE	1	681	t.02.02	0	34420	26420
27547	217	S3002_2	FALSE	1	1127	t.02.02	0	34420	26420
27779	491	S3002_2	FALSE	1	1359	t.02.02	0	34420	26420
28279	173	S3002_2	FALSE	1	1859	t.02.02	0	34420	26420
28473	378	S3002_2	FALSE	2	2053	t.02.02	0	34420	26420
28867	382	S3002_2	FALSE	3	2447	t.02.02	0	34420	26420
29270	332	S3002_2	FALSE	2	2850	t.02.02	0	34420	26420
29609	188	S3002_2	FALSE	3	3189	t.02.02	0	34420	26420
29812	185	S3002_2	FALSE	.	3392	t.02.02	0	34420	26420
30014	525	S3002_2	FALSE	4	3594	t.02.02	0	34420	26420
30552	319	S3002_2	FALSE	5	4132	t.02.02	0	34420	26420
30888	329	S3002_2	FALSE	6	4468	t.02.02	0	34420	26420
31229	251	S3002_2	FALSE	7	4809	t.02.02	0	34420	26420
31491	471	S3002_2	FALSE	6	5071	t.02.02	0	34420	26420
31980	338	S3002_2	FALSE	7	5560	t.02.02	0	34420	26420
32337	394	S3002_2	FALSE	8	5917	t.02.02	0	34420	26420
32738	331	S3002_2	FALSE	8	6318	t.02.02	0	34420	26420
33231	29	S3002_2	FALSE	.	6811	t.02.02	0	34420	26420
33270	177	S3002_2	FALSE	9	6850	t.02.02	0	34420	26420
33458	511	S3002_2	FALSE	8	7038	t.02.02	0	34420	26420
33989	423	S3002_2	FALSE	10	7569	t.02.02	0	34420	26420
34424	97	S3002_2	FALSE	10	8004	t.02.02	0	34420	26420
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
35903	138	S3002_2	FALSE	.	0	t.02.03	4548	40451	35903
36076	77	S3002_2	FALSE	4	173	t.02.03	4548	40451	35903
36186	849	S3002_2	FALSE	1	283	t.02.03	4548	40451	35903
37058	222	S3002_2	FALSE	2	1155	t.02.03	4548	40451	35903
37290	342	S3002_2	FALSE	3	1387	t.02.03	4548	40451	35903
37645	474	S3002_2	FALSE	4	1742	t.02.03	4548	40451	35903
38136	360	S3002_2	FALSE	5	2233	t.02.03	4548	40451	35903
38516	248	S3002_2	FALSE	7	2613	t.02.03	4548	40451	35903
38776	115	S3002_2	FALSE	7	2873	t.02.03	4548	40451	35903
38910	195	S3002_2	FALSE	7	3007	t.02.03	4548	40451	35903
39116	173	S3002_2	FALSE	7	3213	t.02.03	4548	40451	35903
39310	527	S3002_2	FALSE	8	3407	t.02.03	4548	40451	35903
39858	495	S3002_2	FALSE	9	3955	t.02.03	4548	40451	35903
40392	157	S3002_2	FALSE	7	4489	t.02.03	4548	40451	35903
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
41870	177	S3002_2	FALSE	.	0	t.02.04	4049	45919	41870
42069	105	S3002_2	FALSE	2	199	t.02.04	4049	45919	41870
42196	657	S3002_2	FALSE	2	326	t.02.04	4049	45919	41870
42876	372	S3002_2	FALSE	2	1006	t.02.04	4049	45919	41870
43262	236	S3002_2	FALSE	3	1392	t.02.04	4049	45919	41870
43516	497	S3002_2	FALSE	.	1646	t.02.04	4049	45919	41870
44030	258	S3002_2	FALSE	6	2160	t.02.04	4049	45919	41870
44306	94	S3002_2	FALSE	5	2436	t.02.04	4049	45919	41870
44423	452	S3002_2	FALSE	7	2553	t.02.04	4049	45919	41870
44889	397	S3002_2	FALSE	8	3019	t.02.04	4049	45919	41870
45307	385	S3002_2	FALSE	9	3437	t.02.04	4049	45919	41870
45717	298	S3002_2	FALSE	10	3847	t.02.04	4049	45919	41870
#VALUE!	80	S3002_2	FALSE	.	7	.	.	.	.
47386	240	S3002_2	FALSE	2	0	t.02.05	4910	52296	47386
47641	277	S3002_2	FALSE	2	255	t.02.05	4910	52296	47386
47926	111	S3002_2	FALSE	2	540	t.02.05	4910	52296	47386
48061	508	S3002_2	FALSE	2	675	t.02.05	4910	52296	47386
48591	454	S3002_2	FALSE	4	1205	t.02.05	4910	52296	47386
49065	642	S3002_2	FALSE	5	1679	t.02.05	4910	52296	47386
49724	464	S3002_2	FALSE	6	2338	t.02.05	4910	52296	47386
50206	297	S3002_2	FALSE	7	2820	t.02.05	4910	52296	47386
50519	550	S3002_2	FALSE	8	3133	t.02.05	4910	52296	47386
51078	380	S3002_2	FALSE	8	3692	t.02.05	4910	52296	47386
51477	306	S3002_2	FALSE	9	4091	t.02.05	4910	52296	47386
51797	184	S3002_2	FALSE	10	4411	t.02.05	4910	52296	47386
51997	344	S3002_2	FALSE	10	4611	t.02.05	4910	52296	47386
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
53770	584	S3002_2	FALSE	1	0	t.02.06	4200	57970	53770
54371	278	S3002_2	FALSE	3	601	t.02.06	4200	57970	53770
54670	606	S3002_2	FALSE	4	900	t.02.06	4200	57970	53770
55299	370	S3002_2	FALSE	5	1529	t.02.06	4200	57970	53770
55690	209	S3002_2	FALSE	7	1920	t.02.06	4200	57970	53770
55905	395	S3002_2	FALSE	7	2135	t.02.06	4200	57970	53770
56321	176	S3002_2	FALSE	7	2551	t.02.06	4200	57970	53770
56514	442	S3002_2	FALSE	9	2744	t.02.06	4200	57970	53770
56968	391	S3002_2	FALSE	9	3198	t.02.06	4200	57970	53770
57390	261	S3002_2	FALSE	10	3620	t.02.06	4200	57970	53770
57663	400	S3002_2	FALSE	10	3893	t.02.06	4200	57970	53770
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
59453	368	S3002_2	FALSE	1	0	t.02.07	5416	64869	59453
59836	386	S3002_2	FALSE	1	383	t.02.07	5416	64869	59453
60234	410	S3002_2	FALSE	1	781	t.02.07	5416	64869	59453
60665	480	S3002_2	FALSE	2	1212	t.02.07	5416	64869	59453
61163	343	S3002_2	FALSE	3	1710	t.02.07	5416	64869	59453
61526	444	S3002_2	FALSE	4	2073	t.02.07	5416	64869	59453
61976	568	S3002_2	FALSE	4	2523	t.02.07	5416	64869	59453
62575	310	S3002_2	FALSE	5	3122	t.02.07	5416	64869	59453
62898	293	S3002_2	FALSE	5	3445	t.02.07	5416	64869	59453
63217	433	S3002_2	FALSE	6	3764	t.02.07	5416	64869	59453
63667	333	S3002_2	FALSE	8	4214	t.02.07	5416	64869	59453
64019	334	S3002_2	FALSE	9	4566	t.02.07	5416	64869	59453
64381	388	S3002_2	FALSE	10	4928	t.02.07	5416	64869	59453
64843	128	S3002_2	FALSE	1	5390	t.02.07	5416	64869	59453
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
66336	193	S3002_2	FALSE	5	0	t.02.08	5547	71883	66336
66561	326	S3002_2	FALSE	1	225	t.02.08	5547	71883	66336
66895	446	S3002_2	FALSE	1	559	t.02.08	5547	71883	66336
67353	302	S3002_2	FALSE	.	1017	t.02.08	5547	71883	66336
67863	424	S3002_2	FALSE	3	1527	t.02.08	5547	71883	66336
68304	424	S3002_2	FALSE	4	1968	t.02.08	5547	71883	66336
68743	290	S3002_2	FALSE	5	2407	t.02.08	5547	71883	66336
69041	64	S3002_2	FALSE	4	2705	t.02.08	5547	71883	66336
69132	36	S3002_2	FALSE	5	2796	t.02.08	5547	71883	66336
69197	224	S3002_2	FALSE	5	2861	t.02.08	5547	71883	66336
69443	319	S3002_2	FALSE	6	3107	t.02.08	5547	71883	66336
69779	294	S3002_2	FALSE	7	3443	t.02.08	5547	71883	66336
70095	309	S3002_2	FALSE	8	3759	t.02.08	5547	71883	66336
70426	416	S3002_2	FALSE	9	4090	t.02.08	5547	71883	66336
70868	361	S3002_2	FALSE	11	4532	t.02.08	5547	71883	66336
71242	680	S3002_2	FALSE	11	4906	t.02.08	5547	71883	66336
#VALUE!	80	S3002_2	FALSE	.	7	.	.	.	.
73353	351	S3002_2	FALSE	1	0	t.02.09	3653	77006	73353
73712	285	S3002_2	FALSE	2	359	t.02.09	3653	77006	73353
74021	475	S3002_2	FALSE	4	668	t.02.09	3653	77006	73353
74519	367	S3002_2	FALSE	5	1166	t.02.09	3653	77006	73353
74909	693	S3002_2	FALSE	6	1556	t.02.09	3653	77006	73353
75622	277	S3002_2	FALSE	7	2269	t.02.09	3653	77006	73353
75916	351	S3002_2	FALSE	8	2563	t.02.09	3653	77006	73353
76273	214	S3002_2	FALSE	8	2920	t.02.09	3653	77006	73353
76512	588	S3002_2	FALSE	10	3159	t.02.09	3653	77006	73353
#VALUE!	86	S3002_2	FALSE	.	7	.	.	.	.
78502	266	S3002_2	FALSE	2	0	t.02.10	6199	84701	78502
78787	345	S3002_2	FALSE	.	285	t.02.10	6199	84701	78502
79151	383	S3002_2	FALSE	2	649	t.02.10	6199	84701	78502
79554	177	S3002_2	FALSE	.	1052	t.02.10	6199	84701	78502
79755	382	S3002_2	FALSE	3	1253	t.02.10	6199	84701	78502
80153	218	S3002_2	FALSE	3	1651	t.02.10	6199	84701	78502
80382	654	S3002_2	FALSE	3	1880	t.02.10	6199	84701	78502
81062	657	S3002_2	FALSE	5	2560	t.02.10	6199	84701	78502
81741	248	S3002_2	FALSE	5	3239	t.02.10	6199	84701	78502
82003	275	S3002_2	FALSE	6	3501	t.02.10	6199	84701	78502
82289	300	S3002_2	FALSE	6	3787	t.02.10	6199	84701	78502
82612	348	S3002_2	FALSE	7	4110	t.02.10	6199	84701	78502
82980	419	S3002_2	FALSE	8	4478	t.02.10	6199	84701	78502
83421	357	S3002_2	FALSE	9	4919	t.02.10	6199	84701	78502
83817	393	S3002_2	FALSE	7	5315	t.02.10	6199	84701	78502
84239	284	S3002_2	FALSE	9	5737	t.02.10	6199	84701	78502
84559	242	S3002_2	FALSE	7	6057	t.02.10	6199	84701	78502
#VALUE!	83	S3002_2	FALSE	.	7	.	.	.	.
86169	188	S3002_2	FALSE	4	0	t.02.11	0	94169	86169
86394	250	S3002_2	FALSE	2	225	t.02.11	0	94169	86169
86654	239	S3002_2	FALSE	2	485	t.02.11	0	94169	86169
86901	377	S3002_2	FALSE	1	732	t.02.11	0	94169	86169
87451	65	S3002_2	FALSE	2	1282	t.02.11	0	94169	86169
87552	58	S3002_2	FALSE	2	1383	t.02.11	0	94169	86169
87616	205	S3002_2	FALSE	1	1447	t.02.11	0	94169	86169
87830	1245	S3002_2	FALSE	2	1661	t.02.11	0	94169	86169
89103	256	S3002_2	FALSE	3	2934	t.02.11	0	94169	86169
89374	1044	S3002_2	FALSE	3	3205	t.02.11	0	94169	86169
90449	276	S3002_2	FALSE	4	4280	t.02.11	0	94169	86169
90739	372	S3002_2	FALSE	4	4570	t.02.11	0	94169	86169
91127	311	S3002_2	FALSE	4	4958	t.02.11	0	94169	86169
91460	480	S3002_2	FALSE	5	5291	t.02.11	0	94169	86169
91958	303	S3002_2	FALSE	6	5789	t.02.11	0	94169	86169
92281	486	S3002_2	FALSE	7	6112	t.02.11	0	94169	86169
92775	228	S3002_2	FALSE	7	6606	t.02.11	0	94169	86169
93022	514	S3002_2	FALSE	8	6853	t.02.11	0	94169	86169
93544	300	S3002_2	FALSE	8	7375	t.02.11	0	94169	86169
93861	281	S3002_2	FALSE	8	7692	t.02.11	0	94169	86169
94151	105	S3002_2	FALSE	8	7982	t.02.11	0	94169	86169
#VALUE!	80	S3002_2	FALSE	.	7	.	.	.	.
95652	30	S3002_2	FALSE	.	0	t.02.12	5539	101191	95652
95701	180	S3002_2	FALSE	2	49	t.02.12	5539	101191	95652
95906	216	S3002_2	FALSE	.	254	t.02.12	5539	101191	95652
96135	280	S3002_2	FALSE	1	483	t.02.12	5539	101191	95652
96427	302	S3002_2	FALSE	2	775	t.02.12	5539	101191	95652
96748	403	S3002_2	FALSE	3	1096	t.02.12	5539	101191	95652
97167	298	S3002_2	FALSE	4	1515	t.02.12	5539	101191	95652
97476	134	S3002_2	FALSE	4	1824	t.02.12	5539	101191	95652
97632	295	S3002_2	FALSE	5	1980	t.02.12	5539	101191	95652
97938	460	S3002_2	FALSE	5	2286	t.02.12	5539	101191	95652
98424	421	S3002_2	FALSE	6	2772	t.02.12	5539	101191	95652
98870	241	S3002_2	FALSE	8	3218	t.02.12	5539	101191	95652
